"YEAR_COVERAGE","QUARTER","VACCINE_GROUP","AGE_GROUP","BOROUGH","PERC_VAC"
2023,"Q2","Polio","24 - 35 months","Citywide",90
2023,"Q2","Polio","24 - 35 months","Bronx",96
2023,"Q2","Polio","24 - 35 months","Brooklyn",81
2023,"Q2","Polio","24 - 35 months","Manhattan",99
2023,"Q2","Polio","24 - 35 months","Queens",96
2023,"Q2","Polio","24 - 35 months","Staten Island",82
