"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Port Richmond/Randall Manor/West Brighton",10310,62,"10310","13 - 17 years","2 or 3",1196,1918.46,2022,"Q4","HPV",
"Annadale/Rossville",10312,29,"10312","13 - 17 years","2 or 3",1144,3986.73,2022,"Q4","HPV",
"Bloomfield/Freshkills Park",10314,39,"10314","13 - 17 years","2 or 3",2188,5642.56,2022,"Q4","HPV",
"Concourse/Melrose",10451,99,"10451","13 - 17 years","2 or 3",3443,3149.83,2022,"Q4","HPV",
"Concourse/Highbridge",10452,99,"10452","13 - 17 years","2 or 3",5430,5373.61,2022,"Q4","HPV",
"Morris Heights/Mount Hope/University Heights",10453,99,"10453","13 - 17 years","2 or 3",5826,5660.41,2022,"Q4","HPV",
"Mott Haven/Port Morris",10454,99,"10454","13 - 17 years","2 or 3",2991,2940.33,2022,"Q4","HPV",
"Mott Haven",10455,99,"10455","13 - 17 years","2 or 3",3223,3104.72,2022,"Q4","HPV",
"Claremont/Morrisania",10456,99,"10456","13 - 17 years","2 or 3",6533,6391.44,2022,"Q4","HPV",
"Belmont/Claremont/Mount Hope/Tremont",10457,97,"10457","13 - 17 years","2 or 3",5630,5827.47,2022,"Q4","HPV",
"Belmont/Fordham University/Kingsbridge",10458,99,"10458","13 - 17 years","2 or 3",5398,5400.11,2022,"Q4","HPV",
"Charlotte Gardens/Hunts Point",10459,99,"10459","13 - 17 years","2 or 3",3593,3575.33,2022,"Q4","HPV",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,88,"10460","13 - 17 years","2 or 3",3964,4501.57,2022,"Q4","HPV",
"Morris Park/Pelham Bay/Westchester Square",10461,79,"10461","13 - 17 years","2 or 3",2216,2794.05,2022,"Q4","HPV",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,97,"10462","13 - 17 years","2 or 3",4111,4251.07,2022,"Q4","HPV",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,87,"10463","13 - 17 years","2 or 3",2974,3429.89,2022,"Q4","HPV",
"City Island",10464,99,"10464","13 - 17 years","2 or 3",561,238.74,2022,"Q4","HPV",
"Country Club/Throgs Neck",10465,60,"10465","13 - 17 years","2 or 3",1702,2847.36,2022,"Q4","HPV",
"Edenwald/Wakefield",10466,74,"10466","13 - 17 years","2 or 3",3657,4931.16,2022,"Q4","HPV",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,99,"10467","13 - 17 years","2 or 3",6029,5884.39,2022,"Q4","HPV",
"Fordham/Kingsbridge/University Heights",10468,94,"10468","13 - 17 years","2 or 3",5029,5346.88,2022,"Q4","HPV",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,75,"10469","13 - 17 years","2 or 3",3352,4452.89,2022,"Q4","HPV",
"Wakefield/Woodlawn",10470,75,"10470","13 - 17 years","2 or 3",612,816.33,2022,"Q4","HPV",
"Fieldston/North Riverdale/Riverdale",10471,78,"10471","13 - 17 years","2 or 3",714,912.29,2022,"Q4","HPV",
"Soundview",10472,99,"10472","13 - 17 years","2 or 3",4496,4144.16,2022,"Q4","HPV",
"Castle Hill/Clason Point/Soundview",10473,78,"10473","13 - 17 years","2 or 3",3319,4245.96,2022,"Q4","HPV",
"Hunts Point",10474,99,"10474","13 - 17 years","2 or 3",922,818.8,2022,"Q4","HPV",
"Co-op City/Edenwald",10475,72,"10475","13 - 17 years","2 or 3",1442,1993.77,2022,"Q4","HPV",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","13 - 17 years","2 or 3",1725,1057.21,2022,"Q4","HPV",
"Astoria (South)/Long Island City/Sunnyside",11101,65,"11101","13 - 17 years","2 or 3",967,1497,2022,"Q4","HPV",
"Astoria (North)",11102,86,"11102","13 - 17 years","2 or 3",1061,1230.39,2022,"Q4","HPV",
"Astoria (North)/Astoria (South)",11103,64,"11103","13 - 17 years","2 or 3",869,1365.07,2022,"Q4","HPV",
"Sunnyside",11104,91,"11104","13 - 17 years","2 or 3",870,958.64,2022,"Q4","HPV",
"Ditmars Steinway",11105,58,"11105","13 - 17 years","2 or 3",790,1358.37,2022,"Q4","HPV",
"Astoria (South)",11106,80,"11106","13 - 17 years","2 or 3",1196,1498.46,2022,"Q4","HPV",
"Long Island City",11109,99,"11109","13 - 17 years","2 or 3",57,54.33,2022,"Q4","HPV",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,98,"11201","13 - 17 years","2 or 3",1705,1734.43,2022,"Q4","HPV",
"East Flatbush (North)/East Flatbush (South)",11203,73,"11203","13 - 17 years","2 or 3",2616,3594.67,2022,"Q4","HPV",
"Bensonhurst/Mapleton",11204,44,"11204","13 - 17 years","2 or 3",2474,5562.23,2022,"Q4","HPV",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,51,"11205","13 - 17 years","2 or 3",1176,2312.8,2022,"Q4","HPV",
"Williamsburg (South)",11206,42,"11206","13 - 17 years","2 or 3",2556,6048.34,2022,"Q4","HPV",
