"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
"2025 - 26","Q2","5 - 12 years","Flu",1,"Citywide",34
"2025 - 26","Q2","5 - 12 years","Flu",1,"Bronx",32
"2025 - 26","Q2","5 - 12 years","Flu",1,"Brooklyn",30
"2025 - 26","Q2","5 - 12 years","Flu",1,"Manhattan",43
"2025 - 26","Q2","5 - 12 years","Flu",1,"Queens",39
"2025 - 26","Q2","5 - 12 years","Flu",1,"Staten Island",25
