"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Annadale/Rossville",10312,21,"10312","5 - 12 years",1251,5842,"2023 - 24","Q2",NA
"Flu","Bloomfield/Freshkills Park",10314,26,"10314","5 - 12 years",2224,8640,"2023 - 24","Q2",NA
"Flu","Concourse/Melrose",10451,48,"10451","5 - 12 years",2361,4874,"2023 - 24","Q2",NA
"Flu","Concourse/Highbridge",10452,43,"10452","5 - 12 years",3708,8720,"2023 - 24","Q2",NA
"Flu","Morris Heights/Mount Hope/University Heights",10453,40,"10453","5 - 12 years",3553,8814,"2023 - 24","Q2",NA
"Flu","Mott Haven/Port Morris",10454,41,"10454","5 - 12 years",1883,4591,"2023 - 24","Q2",NA
"Flu","Mott Haven",10455,41,"10455","5 - 12 years",2018,4899,"2023 - 24","Q2",NA
"Flu","Claremont/Morrisania",10456,42,"10456","5 - 12 years",4329,10355,"2023 - 24","Q2",NA
"Flu","Belmont/Claremont/Mount Hope/Tremont",10457,42,"10457","5 - 12 years",3770,9070,"2023 - 24","Q2",NA
"Flu","Belmont/Fordham University/Kingsbridge",10458,37,"10458","5 - 12 years",3423,9149,"2023 - 24","Q2",NA
"Flu","Charlotte Gardens/Hunts Point",10459,36,"10459","5 - 12 years",2135,5995,"2023 - 24","Q2",NA
"Flu","Charlotte Gardens/Tremont/Van Nest/West Farms",10460,37,"10460","5 - 12 years",2550,6848,"2023 - 24","Q2",NA
"Flu","Morris Park/Pelham Bay/Westchester Square",10461,36,"10461","5 - 12 years",1649,4611,"2023 - 24","Q2",NA
"Flu","Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,47,"10462","5 - 12 years",3353,7148,"2023 - 24","Q2",NA
"Flu","Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,38,"10463","5 - 12 years",2101,5552,"2023 - 24","Q2",NA
"Flu","City Island",10464,99,"10464","5 - 12 years",684,367,"2023 - 24","Q2",NA
"Flu","Country Club/Throgs Neck",10465,25,"10465","5 - 12 years",1113,4492,"2023 - 24","Q2",NA
"Flu","Edenwald/Wakefield",10466,29,"10466","5 - 12 years",2099,7146,"2023 - 24","Q2",NA
"Flu","Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,39,"10467","5 - 12 years",3884,10060,"2023 - 24","Q2",NA
"Flu","Fordham/Kingsbridge/University Heights",10468,36,"10468","5 - 12 years",2957,8161,"2023 - 24","Q2",NA
"Flu","Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,27,"10469","5 - 12 years",1855,6749,"2023 - 24","Q2",NA
"Flu","Wakefield/Woodlawn",10470,41,"10470","5 - 12 years",580,1426,"2023 - 24","Q2",NA
"Flu","Fieldston/North Riverdale/Riverdale",10471,42,"10471","5 - 12 years",709,1688,"2023 - 24","Q2",NA
"Flu","Soundview",10472,53,"10472","5 - 12 years",3599,6848,"2023 - 24","Q2",NA
"Flu","Castle Hill/Clason Point/Soundview",10473,31,"10473","5 - 12 years",1826,5873,"2023 - 24","Q2",NA
"Flu","Hunts Point",10474,47,"10474","5 - 12 years",586,1241,"2023 - 24","Q2",NA
"Flu","Co-op City/Edenwald",10475,29,"10475","5 - 12 years",811,2819,"2023 - 24","Q2",NA
"Flu","Bellerose/Douglaston-Little Neck",11004,92,"11004, 11005","5 - 12 years",1359,1484,"2023 - 24","Q2",NA
"Flu","Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","5 - 12 years",2205,2103,"2023 - 24","Q2",NA
"Flu","Astoria (North)",11102,43,"11102","5 - 12 years",792,1854,"2023 - 24","Q2",NA
"Flu","Astoria (North)/Astoria (South)",11103,33,"11103","5 - 12 years",714,2159,"2023 - 24","Q2",NA
"Flu","Sunnyside",11104,50,"11104","5 - 12 years",816,1637,"2023 - 24","Q2",NA
"Flu","Ditmars Steinway",11105,33,"11105","5 - 12 years",791,2401,"2023 - 24","Q2",NA
"Flu","Astoria (South)",11106,39,"11106","5 - 12 years",974,2502,"2023 - 24","Q2",NA
"Flu","Long Island City",11109,99,"11109","5 - 12 years",222,130,"2023 - 24","Q2",NA
"Flu","Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,68,"11201","5 - 12 years",2536,3712,"2023 - 24","Q2",NA
"Flu","East Flatbush (North)/East Flatbush (South)",11203,27,"11203","5 - 12 years",1539,5624,"2023 - 24","Q2",NA
"Flu","Bensonhurst/Mapleton",11204,32,"11204","5 - 12 years",3121,9802,"2023 - 24","Q2",NA
"Flu","Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,19,"11205","5 - 12 years",1116,5987,"2023 - 24","Q2",NA
"Flu","Williamsburg (South)",11206,14,"11206","5 - 12 years",1624,11647,"2023 - 24","Q2",NA
