"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Ozone Park",11417,99,"11417","24 - 35 months",339,299.45,2024,"Q4","MMR",""
"Richmond Hill",11418,93,"11418","24 - 35 months",385,415.43,2024,"Q4","MMR",""
"Richmond Hill/South Ozone Park",11419,94,"11419","24 - 35 months",431,456.11,2024,"Q4","MMR",""
"South Ozone Park",11420,88,"11420","24 - 35 months",427,482.66,2024,"Q4","MMR",""
"Woodhaven",11421,96,"11421","24 - 35 months",396,413.12,2024,"Q4","MMR",""
"Rosedale",11422,85,"11422","24 - 35 months",253,298.75,2024,"Q4","MMR",""
"Hollis/Holliswood",11423,99,"11423","24 - 35 months",296,237.63,2024,"Q4","MMR",""
"Bellerose",11426,85,"11426","24 - 35 months",146,170.76,2024,"Q4","MMR",""
"Bellerose/Hollis Hills/Holliswood",11427,77,"11427","24 - 35 months",165,213.99,2024,"Q4","MMR",""
"Queens Village",11428,99,"11428","24 - 35 months",181,181.98,2024,"Q4","MMR",""
"Queens Village",11429,99,"11001, 11429","24 - 35 months",353,240.96,2024,"Q4","MMR",""
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,99,"11432","24 - 35 months",686,597.12,2024,"Q4","MMR",""
"Jamaica",11433,99,"11433","24 - 35 months",450,413.75,2024,"Q4","MMR",""
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,89,"11434","24 - 35 months",613,690.72,2024,"Q4","MMR",""
"Briarwood/Jamaica",11435,99,"11435","24 - 35 months",745,623.97,2024,"Q4","MMR",""
"South Jamaica/South Ozone Park",11436,99,"11436","24 - 35 months",259,228,2024,"Q4","MMR",""
"Edgemere/Far Rockaway",11691,81,"11691","24 - 35 months",854,1049.88,2024,"Q4","MMR",""
"Arverne/Edgemere",11692,67,"11692","24 - 35 months",209,310.4,2024,"Q4","MMR",""
"Arverne/Broad Channel",11693,57,"11693","24 - 35 months",79,138.72,2024,"Q4","MMR",""
"Belle Harbor-Neponsit/Rockaway Park",11694,68,"11694","24 - 35 months",124,182.33,2024,"Q4","MMR",""
"Breezy Point",11697,95,"11697","24 - 35 months",28,29.43,2024,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
