"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",3,149,119.64,2022,"Q2","HepB",""
"Chinatown/Lower East Side",10002,99,"10002","24 - 35 months",3,521,518.06,2022,"Q2","HepB",""
"East Village/Gramercy/Greenwich Village",10003,95,"10003","24 - 35 months",3,213,224.39,2022,"Q2","HepB",""
"Financial District",10004,99,"10004","24 - 35 months",3,41,32.17,2022,"Q2","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",3,80,52.42,2022,"Q2","HepB",""
"Financial District",10006,99,"10006","24 - 35 months",3,42,24.45,2022,"Q2","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",3,116,116.2,2022,"Q2","HepB",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",3,348,323.9,2022,"Q2","HepB",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",3,239,177.17,2022,"Q2","HepB",""
"Chelsea",10011,99,"10011","24 - 35 months",3,302,287.82,2022,"Q2","HepB",""
"Greenwich Village/SoHo",10012,98,"10012","24 - 35 months",3,122,123.94,2022,"Q2","HepB",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",3,270,248.57,2022,"Q2","HepB",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",3,161,153.37,2022,"Q2","HepB",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",3,379,312.09,2022,"Q2","HepB",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",3,113,82.83,2022,"Q2","HepB",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",3,70,43.28,2022,"Q2","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",3,334,260.18,2022,"Q2","HepB",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",3,401,321.59,2022,"Q2","HepB",""
"East Midtown",10022,99,"10022","24 - 35 months",3,238,220.8,2022,"Q2","HepB",""
"Lincoln Square",10023,93,"10023","24 - 35 months",3,581,626.86,2022,"Q2","HepB",""
"Upper West Side",10024,85,"10024","24 - 35 months",3,480,565.19,2022,"Q2","HepB",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,99,"10025","24 - 35 months",3,679,682.41,2022,"Q2","HepB",""
"Central Harlem (South)",10026,89,"10026","24 - 35 months",3,342,385.93,2022,"Q2","HepB",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,79,"10027","24 - 35 months",3,456,575,2022,"Q2","HepB",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",3,349,331.42,2022,"Q2","HepB",""
"East Harlem",10029,95,"10029","24 - 35 months",3,706,745.65,2022,"Q2","HepB",""
"Central Harlem (North)",10030,71,"10030","24 - 35 months",3,250,350.44,2022,"Q2","HepB",""
"Hamilton Heights/West Harlem",10031,89,"10031","24 - 35 months",3,454,512.96,2022,"Q2","HepB",""
"Washington Heights (South)",10032,86,"10032","24 - 35 months",3,413,477.77,2022,"Q2","HepB",""
"Washington Heights (North)/Washington Heights (South)",10033,88,"10033","24 - 35 months",3,442,501.42,2022,"Q2","HepB",""
"Inwood/Washington Heights (North)",10034,99,"10034","24 - 35 months",3,374,360.24,2022,"Q2","HepB",""
"East Harlem",10035,90,"10035","24 - 35 months",3,341,378.74,2022,"Q2","HepB",""
"Hell's Kitchen/Midtown Manhattan",10036,97,"10036","24 - 35 months",3,156,160.62,2022,"Q2","HepB",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",3,203,167.26,2022,"Q2","HepB",""
"Chinatown/Financial District",10038,99,"10038","24 - 35 months",3,160,142.6,2022,"Q2","HepB",""
"Central Harlem (North)/Washington Heights (South)",10039,74,"10039","24 - 35 months",3,257,346.18,2022,"Q2","HepB",""
"Washington Heights (North)",10040,90,"10040","24 - 35 months",3,346,384.52,2022,"Q2","HepB",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",3,133,105.71,2022,"Q2","HepB",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",3,356,258.02,2022,"Q2","HepB",""
"Lincoln Square",10069,99,"10069","24 - 35 months",3,122,66.53,2022,"Q2","HepB",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",3,219,187.29,2022,"Q2","HepB",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",3,553,460.93,2022,"Q2","HepB",""
"Battery Park City",10280,69,"10280","24 - 35 months",3,99,142.7,2022,"Q2","HepB",""
"Battery Park City",10282,81,"10282","24 - 35 months",3,99,122.62,2022,"Q2","HepB",""
