"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
"2025 - 26","Q2","13 - 17 years","Flu",1,"Citywide",32
"2025 - 26","Q2","13 - 17 years","Flu",1,"Bronx",31
"2025 - 26","Q2","13 - 17 years","Flu",1,"Brooklyn",28
"2025 - 26","Q2","13 - 17 years","Flu",1,"Manhattan",38
"2025 - 26","Q2","13 - 17 years","Flu",1,"Queens",38
"2025 - 26","Q2","13 - 17 years","Flu",1,"Staten Island",22
