"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",132,114.8,2021,"Q4","DTaP",""
"Chinatown/Lower East Side",10002,88,"10002","24 - 35 months",476,543.19,2021,"Q4","DTaP",""
"East Village/Gramercy/Greenwich Village",10003,92,"10003","24 - 35 months",219,238.46,2021,"Q4","DTaP",""
"Financial District",10004,83,"10004","24 - 35 months",34,40.79,2021,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",66,52.94,2021,"Q4","DTaP",""
"Financial District",10006,99,"10006","24 - 35 months",26,22.41,2021,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,79,"10007","24 - 35 months",90,114.42,2021,"Q4","DTaP",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,90,"10009","24 - 35 months",300,334.12,2021,"Q4","DTaP",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",191,190.48,2021,"Q4","DTaP",""
"Chelsea",10011,75,"10011","24 - 35 months",234,311.47,2021,"Q4","DTaP",""
"Greenwich Village/SoHo",10012,76,"10012","24 - 35 months",96,126.37,2021,"Q4","DTaP",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,82,"10013","24 - 35 months",228,276.97,2021,"Q4","DTaP",""
"Hudson Square/Meatpacking District/West Village",10014,72,"10014","24 - 35 months",116,161.23,2021,"Q4","DTaP",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",347,335.43,2021,"Q4","DTaP",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",89,84.4,2021,"Q4","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",56,45.06,2021,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",269,263.88,2021,"Q4","DTaP",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",345,348.79,2021,"Q4","DTaP",""
"East Midtown",10022,92,"10022","24 - 35 months",202,220.45,2021,"Q4","DTaP",""
"Lincoln Square",10023,77,"10023","24 - 35 months",489,634.32,2021,"Q4","DTaP",""
"Upper West Side",10024,71,"10024","24 - 35 months",423,596.44,2021,"Q4","DTaP",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,70,"10025","24 - 35 months",511,734.58,2021,"Q4","DTaP",""
"Central Harlem (South)",10026,60,"10026","24 - 35 months",246,411.4,2021,"Q4","DTaP",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,63,"10027","24 - 35 months",378,601.46,2021,"Q4","DTaP",""
"Upper East Side/Yorkville",10028,77,"10028","24 - 35 months",269,351.43,2021,"Q4","DTaP",""
"East Harlem",10029,75,"10029","24 - 35 months",565,754.51,2021,"Q4","DTaP",""
"Central Harlem (North)",10030,55,"10030","24 - 35 months",199,364.55,2021,"Q4","DTaP",""
"Hamilton Heights/West Harlem",10031,71,"10031","24 - 35 months",366,515.41,2021,"Q4","DTaP",""
"Washington Heights (South)",10032,72,"10032","24 - 35 months",368,510.85,2021,"Q4","DTaP",""
"Washington Heights (North)/Washington Heights (South)",10033,72,"10033","24 - 35 months",388,536.23,2021,"Q4","DTaP",""
"Inwood/Washington Heights (North)",10034,80,"10034","24 - 35 months",297,373.06,2021,"Q4","DTaP",""
