"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",201,132.65,2020,"Q4","MMR",""
"Chinatown/Lower East Side",10002,91,"10002","24 - 35 months",561,613.95,2020,"Q4","MMR",""
"East Village/Gramercy/Greenwich Village",10003,95,"10003","24 - 35 months",269,282.78,2020,"Q4","MMR",""
"Financial District",10004,99,"10004","24 - 35 months",60,48.44,2020,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",95,63.23,2020,"Q4","MMR",""
"Financial District",10006,99,"10006","24 - 35 months",41,27.06,2020,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",144,138.02,2020,"Q4","MMR",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",412,380.97,2020,"Q4","MMR",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",276,222.4,2020,"Q4","MMR",""
"Chelsea",10011,82,"10011","24 - 35 months",303,368.1,2020,"Q4","MMR",""
"Greenwich Village/SoHo",10012,82,"10012","24 - 35 months",123,150.75,2020,"Q4","MMR",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,93,"10013","24 - 35 months",307,330.71,2020,"Q4","MMR",""
"Hudson Square/Meatpacking District/West Village",10014,85,"10014","24 - 35 months",164,193.5,2020,"Q4","MMR",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",445,391.05,2020,"Q4","MMR",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",124,100.06,2020,"Q4","MMR",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",59,51.97,2020,"Q4","MMR",""
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",359,308.46,2020,"Q4","MMR",""
