"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","Perc_vac_doses_1"
2019,"Q4","11 - 12 years","HPV",58
2020,"Q4","11 - 12 years","HPV",51
2021,"Q4","11 - 12 years","HPV",52
2022,"Q4","11 - 12 years","HPV",51
2023,"Q4","11 - 12 years","HPV",53
2024,"Q4","11 - 12 years","HPV",53
2025,"Q4","11 - 12 years","HPV",52
2026,"Q2","11 - 12 years","HPV",50
