"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Glendale/Ridgewood",11385,51,"11385","13 years",1,706,1395.68,2021,"Q2","HPV",""
"Cambria Heights",11411,62,"11411","13 years",1,122,197.46,2021,"Q2","HPV",""
"St. Albans",11412,61,"11412","13 years",1,300,489.9,2021,"Q2","HPV",""
"Laurelton/Rosedale",11413,62,"11413","13 years",1,332,536.44,2021,"Q2","HPV",""
"Hamilton Beach/Howard Beach/Lindenwood",11414,32,"11414","13 years",1,109,338.66,2021,"Q2","HPV",""
"Kew Gardens",11415,49,"11415","13 years",1,97,199.29,2021,"Q2","HPV",""
"Ozone Park",11416,78,"11416","13 years",1,301,385.07,2021,"Q2","HPV",""
"Ozone Park",11417,63,"11417","13 years",1,264,416.28,2021,"Q2","HPV",""
"Richmond Hill",11418,92,"11418","13 years",1,399,433.69,2021,"Q2","HPV",""
"Richmond Hill/South Ozone Park",11419,74,"11419","13 years",1,444,601.07,2021,"Q2","HPV",""
"South Ozone Park",11420,70,"11420","13 years",1,434,620.23,2021,"Q2","HPV",""
"Woodhaven",11421,75,"11421","13 years",1,436,583.5,2021,"Q2","HPV",""
"Rosedale",11422,55,"11422","13 years",1,227,411.54,2021,"Q2","HPV",""
"Hollis/Holliswood",11423,90,"11423","13 years",1,286,318.11,2021,"Q2","HPV",""
"Bellerose",11426,60,"11426","13 years",1,148,246.56,2021,"Q2","HPV",""
"Bellerose/Hollis Hills/Holliswood",11427,67,"11427","13 years",1,180,269.61,2021,"Q2","HPV",""
"Queens Village",11428,74,"11428","13 years",1,164,221.68,2021,"Q2","HPV",""
"Queens Village",11429,99,"11001, 11429","13 years",1,327,306.89,2021,"Q2","HPV",""
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,99,"11432","13 years",1,754,657.45,2021,"Q2","HPV",""
"Jamaica",11433,79,"11433","13 years",1,409,516.43,2021,"Q2","HPV",""
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,75,"11434","13 years",1,602,800.98,2021,"Q2","HPV",""
"Briarwood/Jamaica",11435,93,"11435","13 years",1,572,616.87,2021,"Q2","HPV",""
"South Jamaica/South Ozone Park",11436,68,"11436","13 years",1,195,287.89,2021,"Q2","HPV",""
"Edgemere/Far Rockaway",11691,80,"11691","13 years",1,777,971.99,2021,"Q2","HPV",""
"Arverne/Edgemere",11692,73,"11692","13 years",1,242,330.24,2021,"Q2","HPV",""
"Arverne/Broad Channel",11693,44,"11693","13 years",1,73,164.35,2021,"Q2","HPV",""
"Belle Harbor-Neponsit/Rockaway Park",11694,33,"11694","13 years",1,89,266.93,2021,"Q2","HPV",""
"Breezy Point",11697,40,"11697","13 years",1,22,55.09,2021,"Q2","HPV",""
