"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Charleston/Prince's Bay/Woodrow",10309,12,"10309","13 years",53,446.63,2021,"Q2","HPV",""
"Port Richmond/Randall Manor/West Brighton",10310,32,"10310","13 years",121,379.58,2021,"Q2","HPV",""
"Annadale/Rossville",10312,9,"10312","13 years",70,803.22,2021,"Q2","HPV",""
"Bloomfield/Freshkills Park",10314,18,"10314","13 years",204,1142.03,2021,"Q2","HPV",""
"Concourse/Melrose",10451,86,"10451","13 years",571,663.75,2021,"Q2","HPV",""
"Concourse/Highbridge",10452,74,"10452","13 years",853,1148.15,2021,"Q2","HPV",""
"Morris Heights/Mount Hope/University Heights",10453,75,"10453","13 years",899,1197.09,2021,"Q2","HPV",""
"Mott Haven/Port Morris",10454,76,"10454","13 years",473,619.82,2021,"Q2","HPV",""
"Mott Haven",10455,75,"10455","13 years",502,667.36,2021,"Q2","HPV",""
"Claremont/Morrisania",10456,77,"10456","13 years",1035,1352.36,2021,"Q2","HPV",""
"Belmont/Claremont/Mount Hope/Tremont",10457,76,"10457","13 years",903,1194.51,2021,"Q2","HPV",""
"Belmont/Fordham University/Kingsbridge",10458,74,"10458","13 years",850,1148,2021,"Q2","HPV",""
"Charlotte Gardens/Hunts Point",10459,81,"10459","13 years",627,776.56,2021,"Q2","HPV",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,64,"10460","13 years",574,900.48,2021,"Q2","HPV",""
"Morris Park/Pelham Bay/Westchester Square",10461,45,"10461","13 years",259,579.2,2021,"Q2","HPV",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,64,"10462","13 years",563,882.74,2021,"Q2","HPV",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,57,"10463","13 years",407,711.85,2021,"Q2","HPV",""
"City Island",10464,82,"10464","13 years",52,63.14,2021,"Q2","HPV",""
"Country Club/Throgs Neck",10465,27,"10465","13 years",163,607.12,2021,"Q2","HPV",""
"Edenwald/Wakefield",10466,50,"10466","13 years",509,1010.12,2021,"Q2","HPV",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,64,"10467","13 years",782,1226.98,2021,"Q2","HPV",""
"Fordham/Kingsbridge/University Heights",10468,74,"10468","13 years",810,1088.72,2021,"Q2","HPV",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,45,"10469","13 years",428,946.27,2021,"Q2","HPV",""
"Wakefield/Woodlawn",10470,44,"10470","13 years",77,175.77,2021,"Q2","HPV",""
"Fieldston/North Riverdale/Riverdale",10471,36,"10471","13 years",69,192.13,2021,"Q2","HPV",""
"Soundview",10472,84,"10472","13 years",724,861.67,2021,"Q2","HPV",""
"Castle Hill/Clason Point/Soundview",10473,52,"10473","13 years",453,865.83,2021,"Q2","HPV",""
"Hunts Point",10474,90,"10474","13 years",160,178.69,2021,"Q2","HPV",""
"Co-op City/Edenwald",10475,37,"10475","13 years",168,448.77,2021,"Q2","HPV",""
"Bellerose/Douglaston-Little Neck",11004,81,"11004, 11005","13 years",190,234.92,2021,"Q2","HPV",""
"Astoria (South)/Long Island City/Sunnyside",11101,52,"11101","13 years",142,273.46,2021,"Q2","HPV",""
"Astoria (North)",11102,52,"11102","13 years",128,247,2021,"Q2","HPV",""
"Astoria (North)/Astoria (South)",11103,37,"11103","13 years",103,278.55,2021,"Q2","HPV",""
"Sunnyside",11104,62,"11104","13 years",129,208.18,2021,"Q2","HPV",""
"Ditmars Steinway",11105,26,"11105","13 years",76,290.24,2021,"Q2","HPV",""
"Astoria (South)",11106,53,"11106","13 years",159,300.75,2021,"Q2","HPV",""
"Long Island City",11109,0,"11109","13 years",,12.86,2021,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,44,"11201","13 years",163,369.01,2021,"Q2","HPV",""
"East Flatbush (North)/East Flatbush (South)",11203,42,"11203","13 years",328,787.74,2021,"Q2","HPV",""
"Bensonhurst/Mapleton",11204,26,"11204","13 years",306,1182.07,2021,"Q2","HPV",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,27,"11205","13 years",153,559.12,2021,"Q2","HPV",""
"Williamsburg (South)",11206,25,"11206","13 years",340,1338.09,2021,"Q2","HPV",""
"Cypress Hills/East New York",11207,50,"11207","13 years",678,1343.61,2021,"Q2","HPV",""
"Cypress Hills/East New York",11208,47,"11208","13 years",752,1593.56,2021,"Q2","HPV",""
"Bay Ridge/Fort Hamilton",11209,28,"11209","13 years",215,757.3,2021,"Q2","HPV",""
"Flatlands/Midwood",11210,22,"11210","13 years",202,903.33,2021,"Q2","HPV",""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,12,"11211, 11249","13 years",175,1407.01,2021,"Q2","HPV",""
"Ocean Hill-Brownsville",11212,55,"11212","13 years",649,1190.78,2021,"Q2","HPV",""
"Crown Heights (East)",11213,30,"11213","13 years",281,949.96,2021,"Q2","HPV",""
"Bath Beach/Bensonhurst/Gravesend",11214,44,"11214","13 years",449,1012.82,2021,"Q2","HPV",""
"Gowanus/Park Slope/Windsor Terrace",11215,39,"11215","13 years",211,536.87,2021,"Q2","HPV",""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,34,"11216","13 years",169,498.27,2021,"Q2","HPV",""
"Boerum Hill/Park Slope",11217,50,"11217, 11243","13 years",130,261.89,2021,"Q2","HPV",""
"Kensington/Windsor Terrace",11218,40,"11218","13 years",405,1008.51,2021,"Q2","HPV",""
"Borough Park",11219,36,"11219","13 years",558,1547.91,2021,"Q2","HPV",""
"Sunset Park",11220,99,"11220","13 years",1315,1046.96,2021,"Q2","HPV",""
"Bedford-Stuyvesant (East)/Bushwick",11221,38,"11221","13 years",395,1029.48,2021,"Q2","HPV",""
"Greenpoint",11222,17,"11222","13 years",45,272.03,2021,"Q2","HPV",""
"Gravesend/Homecrest",11223,35,"11223","13 years",346,984.09,2021,"Q2","HPV",""
"Brighton Beach/Coney Island/Seagate",11224,34,"11224","13 years",185,538,2021,"Q2","HPV",""
"Crown Heights (West)/Prospect Lefferts Gardens",11225,31,"11225","13 years",190,616.32,2021,"Q2","HPV",""
"Flatbush/Prospect Lefferts Gardens",11226,55,"11226","13 years",570,1032.07,2021,"Q2","HPV",""
"Bath Beach/Dyker Heights",11228,46,"11228","13 years",245,532.93,2021,"Q2","HPV",""
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,19,"11229","13 years",185,985.58,2021,"Q2","HPV",""
"Midwood",11230,22,"11230","13 years",295,1325.36,2021,"Q2","HPV",""
"Carroll Gardens/Cobble Hill/Red Hook",11231,62,"11231","13 years",184,298.7,2021,"Q2","HPV",""
"Sunset Park",11232,99,"11232","13 years",275,270.65,2021,"Q2","HPV",""
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,37,"11233","13 years",375,1016.21,2021,"Q2","HPV",""
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,22,"11234","13 years",244,1117.84,2021,"Q2","HPV",""
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,25,"11235","13 years",190,746.33,2021,"Q2","HPV",""
"Canarsie",11236,35,"11236","13 years",429,1234.03,2021,"Q2","HPV",""
"Bushwick/East Williamsburg",11237,72,"11237","13 years",361,500.1,2021,"Q2","HPV",""
"Clinton Hill/Prospect Heights",11238,48,"11238","13 years",143,298.05,2021,"Q2","HPV",""
"East New York",11239,32,"11239","13 years",59,184.64,2021,"Q2","HPV",""
"Flushing/Murray Hill",11354,82,"11354","13 years",309,376.48,2021,"Q2","HPV",""
"Flushing/Murray Hill/Queensboro Hill",11355,99,"11355","13 years",617,607.01,2021,"Q2","HPV",""
"College Point",11356,61,"11356","13 years",191,314.56,2021,"Q2","HPV",""
"Whitestone",11357,29,"11357","13 years",128,442.27,2021,"Q2","HPV",""
"Auburndale/Murray Hill",11358,44,"11358","13 years",169,382.09,2021,"Q2","HPV",""
"Bayside (North)",11360,33,"11360","13 years",51,155.4,2021,"Q2","HPV",""
"Bayside (North)/Bayside (South)",11361,35,"11361","13 years",108,305.97,2021,"Q2","HPV",""
"Douglaston-Little Neck",11362,24,"11362","13 years",47,194.04,2021,"Q2","HPV",""
