"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","13 - 17 years",1,873,683.7,2025,"Q4","HPV",
"Chinatown/Lower East Side",10002,85,"10002","13 - 17 years",1,2684,3160.5,2025,"Q4","HPV",
"East Village/Gramercy/Greenwich Village",10003,77,"10003","13 - 17 years",1,719,928.53,2025,"Q4","HPV",
"Financial District",10004,99,"10004","13 - 17 years",1,139,74.91,2025,"Q4","HPV",
"Financial District",10005,99,"10005","13 - 17 years",1,198,82.63,2025,"Q4","HPV",
"Financial District",10006,99,"10006","13 - 17 years",1,149,67.09,2025,"Q4","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years",1,312,210.74,2025,"Q4","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,73,"10009","13 - 17 years",1,1463,1991.53,2025,"Q4","HPV",
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","13 - 17 years",1,755,589.14,2025,"Q4","HPV",
"Chelsea",10011,87,"10011","13 - 17 years",1,951,1088.19,2025,"Q4","HPV",
"Greenwich Village/SoHo",10012,73,"10012","13 - 17 years",1,390,533.8,2025,"Q4","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 - 17 years",1,987,910.1,2025,"Q4","HPV",
"Hudson Square/Meatpacking District/West Village",10014,77,"10014","13 - 17 years",1,481,628.46,2025,"Q4","HPV",
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","13 - 17 years",1,971,812.17,2025,"Q4","HPV",
"East Midtown/Murray Hill",10017,99,"10017","13 - 17 years",1,742,224.8,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 - 17 years",1,181,129.3,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","13 - 17 years",1,1050,806.89,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10021,99,"10021","13 - 17 years",1,1226,1138.75,2025,"Q4","HPV",
"East Midtown",10022,99,"10022","13 - 17 years",1,714,655.17,2025,"Q4","HPV",
"Lincoln Square",10023,96,"10023","13 - 17 years",1,1904,1992.63,2025,"Q4","HPV",
"Upper West Side",10024,78,"10024","13 - 17 years",1,2082,2661.8,2025,"Q4","HPV",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,74,"10025","13 - 17 years",1,2747,3724.66,2025,"Q4","HPV",
"Central Harlem (South)",10026,99,"10026","13 - 17 years",1,1638,1640.98,2025,"Q4","HPV",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,99,"10027","13 - 17 years",1,3030,2796.81,2025,"Q4","HPV",
"Upper East Side/Yorkville",10028,74,"10028","13 - 17 years",1,1408,1911.92,2025,"Q4","HPV",
"East Harlem",10029,99,"10029","13 - 17 years",1,4112,4168.6,2025,"Q4","HPV",
"Central Harlem (North)",10030,85,"10030","13 - 17 years",1,1444,1690.99,2025,"Q4","HPV",
"Hamilton Heights/West Harlem",10031,84,"10031","13 - 17 years",1,2348,2791.76,2025,"Q4","HPV",
"Washington Heights (South)",10032,98,"10032","13 - 17 years",1,2523,2565.89,2025,"Q4","HPV",
"Washington Heights (North)/Washington Heights (South)",10033,92,"10033","13 - 17 years",1,2308,2518.48,2025,"Q4","HPV",
"Inwood/Washington Heights (North)",10034,91,"10034","13 - 17 years",1,1770,1945.1,2025,"Q4","HPV",
"East Harlem",10035,84,"10035","13 - 17 years",1,1759,2106.51,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","13 - 17 years",1,1039,537.18,2025,"Q4","HPV",
"Central Harlem (North)/East Harlem",10037,99,"10037","13 - 17 years",1,5438,808.44,2025,"Q4","HPV",
"Chinatown/Financial District",10038,92,"10038","13 - 17 years",1,632,684.9,2025,"Q4","HPV",
"Central Harlem (North)/Washington Heights (South)",10039,80,"10039","13 - 17 years",1,1514,1880.86,2025,"Q4","HPV",
"Washington Heights (North)",10040,91,"10040","13 - 17 years",1,1855,2042.64,2025,"Q4","HPV",
"Roosevelt Island",10044,66,"10044","13 - 17 years",1,378,570.16,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10065,99,"10065","13 - 17 years",1,893,779.24,2025,"Q4","HPV",
"Lincoln Square",10069,99,"10069","13 - 17 years",1,348,196.39,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","13 - 17 years",1,951,837.3,2025,"Q4","HPV",
"Upper East Side/Yorkville",10128,81,"10128","13 - 17 years",1,2045,2518.52,2025,"Q4","HPV",
"Battery Park City",10280,88,"10280","13 - 17 years",1,241,274.25,2025,"Q4","HPV",
"Battery Park City",10282,99,"10282","13 - 17 years",1,236,195.33,2025,"Q4","HPV",
"Silver Lake/St. George",10301,79,"10301","13 - 17 years",1,1839,2325.39,2025,"Q4","HPV",
"Elm Park",10302,81,"10302","13 - 17 years",1,1157,1433.98,2025,"Q4","HPV",
"Graniteville/Mariner's Harbor/Port Ivory",10303,76,"10303","13 - 17 years",1,1606,2124.68,2025,"Q4","HPV",
"New Dorp/Todt Hill",10304,74,"10304","13 - 17 years",1,2205,2982.3,2025,"Q4","HPV",
