"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,90,"10001, 10118","5 - 12 years",1,867,962.99,"2022 - 23","Q2","Flu",
"Chinatown/Lower East Side",10002,51,"10002","5 - 12 years",1,2715,5324.31,"2022 - 23","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,63,"10003","5 - 12 years",1,902,1430.55,"2022 - 23","Q2","Flu",
"Financial District",10004,99,"10004","5 - 12 years",1,187,131.43,"2022 - 23","Q2","Flu",
"Financial District",10005,99,"10005","5 - 12 years",1,244,206.33,"2022 - 23","Q2","Flu",
"Financial District",10006,99,"10006","5 - 12 years",1,121,82.37,"2022 - 23","Q2","Flu",
"TriBeCa",10007,90,"10007","5 - 12 years",1,498,551.71,"2022 - 23","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,40,"10009","5 - 12 years",1,1166,2947.13,"2022 - 23","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,86,"10010","5 - 12 years",1,918,1066.06,"2022 - 23","Q2","Flu",
"Chelsea",10011,63,"10011","5 - 12 years",1,1160,1850.5,"2022 - 23","Q2","Flu",
"Greenwich Village/SoHo",10012,51,"10012","5 - 12 years",1,456,888.29,"2022 - 23","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,81,"10013","5 - 12 years",1,1451,1797.9,"2022 - 23","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,58,"10014","5 - 12 years",1,636,1097.6,"2022 - 23","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,68,"10016","5 - 12 years",1,1094,1599.33,"2022 - 23","Q2","Flu",
"East Midtown/Murray Hill",10017,87,"10017","5 - 12 years",1,363,418.2,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,65,"10018","5 - 12 years",1,140,214.08,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,97,"10019, 10020","5 - 12 years",1,1235,1269.4,"2022 - 23","Q2","Flu",
"Lenox Hill/Upper East Side",10021,66,"10021","5 - 12 years",1,1501,2263.02,"2022 - 23","Q2","Flu",
"East Midtown",10022,73,"10022","5 - 12 years",1,930,1273.34,"2022 - 23","Q2","Flu",
"Lincoln Square",10023,65,"10023","5 - 12 years",1,2278,3518.61,"2022 - 23","Q2","Flu",
"Upper West Side",10024,59,"10024","5 - 12 years",1,2549,4289.64,"2022 - 23","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,49,"10025","5 - 12 years",1,2784,5692.36,"2022 - 23","Q2","Flu",
"Central Harlem (South)",10026,41,"10026","5 - 12 years",1,1217,2987.59,"2022 - 23","Q2","Flu",
