"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Castle Hill/Clason Point/Soundview",10473,99,"10473","24 - 35 months",1,559,556.04,2023,"Q4","Varicella",""
"Hunts Point",10474,86,"10474","24 - 35 months",1,132,153.47,2023,"Q4","Varicella",""
"Co-op City/Edenwald",10475,78,"10475","24 - 35 months",1,227,292.04,2023,"Q4","Varicella",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",1,229,149.83,2023,"Q4","Varicella",""
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","24 - 35 months",1,673,370.09,2023,"Q4","Varicella",""
"Astoria (North)",11102,99,"11102","24 - 35 months",1,325,227.32,2023,"Q4","Varicella",""
"Astoria (North)/Astoria (South)",11103,99,"11103","24 - 35 months",1,279,270.71,2023,"Q4","Varicella",""
"Sunnyside",11104,88,"11104","24 - 35 months",1,214,242.77,2023,"Q4","Varicella",""
"Ditmars Steinway",11105,99,"11105","24 - 35 months",1,325,295.64,2023,"Q4","Varicella",""
"Astoria (South)",11106,87,"11106","24 - 35 months",1,284,327.49,2023,"Q4","Varicella",""
"Long Island City",11109,99,"11109","24 - 35 months",1,145,71.55,2023,"Q4","Varicella",""
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,99,"11201","24 - 35 months",1,833,750.39,2023,"Q4","Varicella",""
"East Flatbush (North)/East Flatbush (South)",11203,95,"11203","24 - 35 months",1,637,667.83,2023,"Q4","Varicella",""
"Bensonhurst/Mapleton",11204,90,"11204","24 - 35 months",1,995,1111.41,2023,"Q4","Varicella",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,53,"11205","24 - 35 months",1,524,984.78,2023,"Q4","Varicella",""
"Williamsburg (South)",11206,54,"11206","24 - 35 months",1,767,1430.98,2023,"Q4","Varicella",""
"Cypress Hills/East New York",11207,83,"11207","24 - 35 months",1,915,1106.85,2023,"Q4","Varicella",""
"Cypress Hills/East New York",11208,89,"11208","24 - 35 months",1,1102,1235.74,2023,"Q4","Varicella",""
"Bay Ridge/Fort Hamilton",11209,84,"11209","24 - 35 months",1,589,700.61,2023,"Q4","Varicella",""
"Flatlands/Midwood",11210,89,"11210","24 - 35 months",1,614,691.48,2023,"Q4","Varicella",""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,62,"11211, 11249","24 - 35 months",1,1173,1888.61,2023,"Q4","Varicella",""
"Ocean Hill-Brownsville",11212,85,"11212","24 - 35 months",1,868,1021.76,2023,"Q4","Varicella",""
"Crown Heights (East)",11213,66,"11213","24 - 35 months",1,624,947.48,2023,"Q4","Varicella",""
"Bath Beach/Bensonhurst/Gravesend",11214,94,"11214","24 - 35 months",1,856,906.72,2023,"Q4","Varicella",""
"Gowanus/Park Slope/Windsor Terrace",11215,95,"11215","24 - 35 months",1,798,842.23,2023,"Q4","Varicella",""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,79,"11216","24 - 35 months",1,417,526.06,2023,"Q4","Varicella",""
"Boerum Hill/Park Slope",11217,99,"11217, 11243","24 - 35 months",1,473,462.42,2023,"Q4","Varicella",""
"Kensington/Windsor Terrace",11218,85,"11218","24 - 35 months",1,843,995.75,2023,"Q4","Varicella",""
"Borough Park",11219,79,"11219","24 - 35 months",1,1655,2090.78,2023,"Q4","Varicella",""
"Sunset Park",11220,99,"11220","24 - 35 months",1,1082,1085.01,2023,"Q4","Varicella",""
"Bedford-Stuyvesant (East)/Bushwick",11221,81,"11221","24 - 35 months",1,714,880.78,2023,"Q4","Varicella",""
"Greenpoint",11222,99,"11222","24 - 35 months",1,425,262.7,2023,"Q4","Varicella",""
"Gravesend/Homecrest",11223,99,"11223","24 - 35 months",1,917,891.01,2023,"Q4","Varicella",""
"Brighton Beach/Coney Island/Seagate",11224,85,"11224","24 - 35 months",1,344,403.14,2023,"Q4","Varicella",""
"Crown Heights (West)/Prospect Lefferts Gardens",11225,82,"11225","24 - 35 months",1,542,663.83,2023,"Q4","Varicella",""
"Flatbush/Prospect Lefferts Gardens",11226,83,"11226","24 - 35 months",1,887,1071.02,2023,"Q4","Varicella",""
"Bath Beach/Dyker Heights",11228,77,"11228","24 - 35 months",1,311,401.52,2023,"Q4","Varicella",""
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,96,"11229","24 - 35 months",1,758,791.98,2023,"Q4","Varicella",""
"Midwood",11230,99,"11230","24 - 35 months",1,1226,1229.17,2023,"Q4","Varicella",""
"Carroll Gardens/Cobble Hill/Red Hook",11231,90,"11231","24 - 35 months",1,458,508.93,2023,"Q4","Varicella",""
