"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","6 months - 4 years",1,694,567.4,"2022 - 23","Q2","Flu",
"Chinatown/Lower East Side",10002,67,"10002","6 months - 4 years",1,1598,2383.05,"2022 - 23","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,94,"10003","6 months - 4 years",1,880,938.29,"2022 - 23","Q2","Flu",
"Financial District",10004,99,"10004","6 months - 4 years",1,180,127.7,"2022 - 23","Q2","Flu",
"Financial District",10005,99,"10005","6 months - 4 years",1,259,227.11,"2022 - 23","Q2","Flu",
"Financial District",10006,99,"10006","6 months - 4 years",1,160,91.76,"2022 - 23","Q2","Flu",
"TriBeCa",10007,92,"10007","6 months - 4 years",1,469,507.36,"2022 - 23","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,70,"10009","6 months - 4 years",1,996,1428.66,"2022 - 23","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","6 months - 4 years",1,822,749.03,"2022 - 23","Q2","Flu",
"Chelsea",10011,85,"10011","6 months - 4 years",1,1069,1257.71,"2022 - 23","Q2","Flu",
"Greenwich Village/SoHo",10012,83,"10012","6 months - 4 years",1,437,524.07,"2022 - 23","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","6 months - 4 years",1,1136,1069.9,"2022 - 23","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,90,"10014","6 months - 4 years",1,601,665.62,"2022 - 23","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,97,"10016","6 months - 4 years",1,1214,1253.34,"2022 - 23","Q2","Flu",
"East Midtown/Murray Hill",10017,99,"10017","6 months - 4 years",1,359,354.37,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","6 months - 4 years",1,168,142.89,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","6 months - 4 years",1,1299,1041.9,"2022 - 23","Q2","Flu",
"Lenox Hill/Upper East Side",10021,99,"10021","6 months - 4 years",1,1425,1370.87,"2022 - 23","Q2","Flu",
"East Midtown",10022,99,"10022","6 months - 4 years",1,906,905.03,"2022 - 23","Q2","Flu",
"Lincoln Square",10023,80,"10023","6 months - 4 years",1,2119,2635.84,"2022 - 23","Q2","Flu",
"Upper West Side",10024,75,"10024","6 months - 4 years",1,1865,2483.7,"2022 - 23","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,76,"10025","6 months - 4 years",1,2289,3028.06,"2022 - 23","Q2","Flu",
"Central Harlem (South)",10026,58,"10026","6 months - 4 years",1,976,1680.07,"2022 - 23","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,57,"10027","6 months - 4 years",1,1455,2557.15,"2022 - 23","Q2","Flu",
"Upper East Side/Yorkville",10028,78,"10028","6 months - 4 years",1,1193,1527.15,"2022 - 23","Q2","Flu",
"East Harlem",10029,68,"10029","6 months - 4 years",1,2275,3349.9,"2022 - 23","Q2","Flu",
"Central Harlem (North)",10030,47,"10030","6 months - 4 years",1,752,1611.21,"2022 - 23","Q2","Flu",
"Hamilton Heights/West Harlem",10031,57,"10031","6 months - 4 years",1,1367,2386.27,"2022 - 23","Q2","Flu",
"Washington Heights (South)",10032,56,"10032","6 months - 4 years",1,1195,2141.18,"2022 - 23","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,62,"10033","6 months - 4 years",1,1374,2208.09,"2022 - 23","Q2","Flu",
"Inwood/Washington Heights (North)",10034,54,"10034","6 months - 4 years",1,925,1712.44,"2022 - 23","Q2","Flu",
"East Harlem",10035,52,"10035","6 months - 4 years",1,923,1784.34,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","6 months - 4 years",1,870,643.83,"2022 - 23","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,99,"10037","6 months - 4 years",1,953,721.45,"2022 - 23","Q2","Flu",
"Chinatown/Financial District",10038,85,"10038","6 months - 4 years",1,537,630.82,"2022 - 23","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,45,"10039","6 months - 4 years",1,747,1645.15,"2022 - 23","Q2","Flu",
