"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","13 years","HPV","2 or 3","Citywide",46
2026,"Q2","13 years","HPV","2 or 3","Bronx",61
2026,"Q2","13 years","HPV","2 or 3","Brooklyn",37
2026,"Q2","13 years","HPV","2 or 3","Manhattan",43
2026,"Q2","13 years","HPV","2 or 3","Queens",52
2026,"Q2","13 years","HPV","2 or 3","Staten Island",23
