"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","Citywide","Asian, non-Hispanic","Black, non-Hispanic","Hispanic/Latino","White, non-Hispanic"
2022,"Q4","13 years","HPV",1,72,84,68,79,28
2023,"Q4","13 years","HPV",1,71,83,71,85,29
2024,"Q4","13 years","HPV",1,69,85,73,86,29
2025,"Q4","13 years","HPV",1,70,93,69,86,28
2026,"Q2","13 years","HPV",1,68,91,68,83,28
