"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,63,"10001, 10118","5 - 12 years",1,611,962.21,"2023 - 24","Q4","Flu",
"Chinatown/Lower East Side",10002,39,"10002","5 - 12 years",1,2068,5369.42,"2023 - 24","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,51,"10003","5 - 12 years",1,720,1423.37,"2023 - 24","Q4","Flu",
"Financial District",10004,99,"10004","5 - 12 years",1,159,130.79,"2023 - 24","Q4","Flu",
"Financial District",10005,99,"10005","5 - 12 years",1,261,204.75,"2023 - 24","Q4","Flu",
"Financial District",10006,99,"10006","5 - 12 years",1,143,81.86,"2023 - 24","Q4","Flu",
"TriBeCa",10007,80,"10007","5 - 12 years",1,436,547.17,"2023 - 24","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,29,"10009","5 - 12 years",1,864,2948.24,"2023 - 24","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,69,"10010","5 - 12 years",1,728,1057.19,"2023 - 24","Q4","Flu",
"Chelsea",10011,51,"10011","5 - 12 years",1,933,1834.96,"2023 - 24","Q4","Flu",
"Greenwich Village/SoHo",10012,44,"10012","5 - 12 years",1,392,886.73,"2023 - 24","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,69,"10013","5 - 12 years",1,1242,1790.97,"2023 - 24","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,46,"10014","5 - 12 years",1,495,1087.41,"2023 - 24","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,62,"10016","5 - 12 years",1,993,1589.71,"2023 - 24","Q4","Flu",
"East Midtown/Murray Hill",10017,99,"10017","5 - 12 years",1,1286,411.66,"2023 - 24","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,75,"10018","5 - 12 years",1,161,214.05,"2023 - 24","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,72,"10019, 10020","5 - 12 years",1,909,1264.51,"2023 - 24","Q4","Flu",
"Lenox Hill/Upper East Side",10021,61,"10021","5 - 12 years",1,1372,2244.72,"2023 - 24","Q4","Flu",
"East Midtown",10022,61,"10022","5 - 12 years",1,769,1262.9,"2023 - 24","Q4","Flu",
