"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Port Richmond/Randall Manor/West Brighton",10310,51,"10310","6 months - 4 years",723,1421,"2023 - 24","Q2","Flu",NA
"Annadale/Rossville",10312,43,"10312","6 months - 4 years",1207,2794,"2023 - 24","Q2","Flu",NA
"Bloomfield/Freshkills Park",10314,50,"10314","6 months - 4 years",2117,4230,"2023 - 24","Q2","Flu",NA
"Concourse/Melrose",10451,66,"10451","6 months - 4 years",1748,2637,"2023 - 24","Q2","Flu",NA
"Concourse/Highbridge",10452,58,"10452","6 months - 4 years",2771,4762,"2023 - 24","Q2","Flu",NA
"Morris Heights/Mount Hope/University Heights",10453,59,"10453","6 months - 4 years",2815,4779,"2023 - 24","Q2","Flu",NA
"Mott Haven/Port Morris",10454,56,"10454","6 months - 4 years",1332,2394,"2023 - 24","Q2","Flu",NA
"Mott Haven",10455,64,"10455","6 months - 4 years",1626,2521,"2023 - 24","Q2","Flu",NA
"Claremont/Morrisania",10456,61,"10456","6 months - 4 years",3290,5387,"2023 - 24","Q2","Flu",NA
"Belmont/Claremont/Mount Hope/Tremont",10457,60,"10457","6 months - 4 years",2974,4951,"2023 - 24","Q2","Flu",NA
"Belmont/Fordham University/Kingsbridge",10458,55,"10458","6 months - 4 years",2669,4887,"2023 - 24","Q2","Flu",NA
"Charlotte Gardens/Hunts Point",10459,52,"10459","6 months - 4 years",1641,3164,"2023 - 24","Q2","Flu",NA
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,60,"10460","6 months - 4 years",2131,3576,"2023 - 24","Q2","Flu",NA
"Morris Park/Pelham Bay/Westchester Square",10461,63,"10461","6 months - 4 years",1572,2482,"2023 - 24","Q2","Flu",NA
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,68,"10462","6 months - 4 years",2659,3938,"2023 - 24","Q2","Flu",NA
