"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months","3 or 4",142,115.7,2026,"Q2","Hib",""
"Chinatown/Lower East Side",10002,51,"10002","24 - 35 months","3 or 4",252,491.86,2026,"Q2","Hib",""
"East Village/Gramercy/Greenwich Village",10003,92,"10003","24 - 35 months","3 or 4",198,214.44,2026,"Q2","Hib",""
"Financial District",10004,99,"10004","24 - 35 months","3 or 4",38,30.46,2026,"Q2","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months","3 or 4",68,49.62,2026,"Q2","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months","3 or 4",41,23.33,2026,"Q2","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months","3 or 4",111,111.64,2026,"Q2","Hib",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,72,"10009","24 - 35 months","3 or 4",228,317.15,2026,"Q2","Hib",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months","3 or 4",173,169.73,2026,"Q2","Hib",""
"Chelsea",10011,70,"10011","24 - 35 months","3 or 4",195,278.7,2026,"Q2","Hib",""
"Greenwich Village/SoHo",10012,92,"10012","24 - 35 months","3 or 4",109,118.55,2026,"Q2","Hib",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months","3 or 4",236,235.44,2026,"Q2","Hib",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months","3 or 4",171,148.51,2026,"Q2","Hib",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months","3 or 4",302,295.89,2026,"Q2","Hib",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months","3 or 4",102,78.48,2026,"Q2","Hib",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months","3 or 4",47,41.27,2026,"Q2","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months","3 or 4",270,249.17,2026,"Q2","Hib",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months","3 or 4",366,308.41,2026,"Q2","Hib",""
"East Midtown",10022,99,"10022","24 - 35 months","3 or 4",228,211.42,2026,"Q2","Hib",""
"Lincoln Square",10023,86,"10023","24 - 35 months","3 or 4",511,595.97,2026,"Q2","Hib",""
"Upper West Side",10024,89,"10024","24 - 35 months","3 or 4",487,547.69,2026,"Q2","Hib",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,81,"10025","24 - 35 months","3 or 4",538,664.55,2026,"Q2","Hib",""
"Central Harlem (South)",10026,56,"10026","24 - 35 months","3 or 4",215,383.09,2026,"Q2","Hib",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,59,"10027","24 - 35 months","3 or 4",339,570.32,2026,"Q2","Hib",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months","3 or 4",356,318.85,2026,"Q2","Hib",""
"East Harlem",10029,66,"10029","24 - 35 months","3 or 4",489,740.35,2026,"Q2","Hib",""
"Central Harlem (North)",10030,42,"10030","24 - 35 months","3 or 4",147,351.61,2026,"Q2","Hib",""
"Hamilton Heights/West Harlem",10031,64,"10031","24 - 35 months","3 or 4",332,515.97,2026,"Q2","Hib",""
"Washington Heights (South)",10032,65,"10032","24 - 35 months","3 or 4",314,479.52,2026,"Q2","Hib",""
"Washington Heights (North)/Washington Heights (South)",10033,70,"10033","24 - 35 months","3 or 4",353,502.22,2026,"Q2","Hib",""
"Inwood/Washington Heights (North)",10034,70,"10034","24 - 35 months","3 or 4",254,362.58,2026,"Q2","Hib",""
"East Harlem",10035,55,"10035","24 - 35 months","3 or 4",211,381.29,2026,"Q2","Hib",""
"Hell's Kitchen/Midtown Manhattan",10036,98,"10036","24 - 35 months","3 or 4",152,155.62,2026,"Q2","Hib",""
"Central Harlem (North)/East Harlem",10037,72,"10037","24 - 35 months","3 or 4",121,167.34,2026,"Q2","Hib",""
"Chinatown/Financial District",10038,70,"10038","24 - 35 months","3 or 4",96,137.2,2026,"Q2","Hib",""
"Central Harlem (North)/Washington Heights (South)",10039,52,"10039","24 - 35 months","3 or 4",180,348.79,2026,"Q2","Hib",""
"Washington Heights (North)",10040,69,"10040","24 - 35 months","3 or 4",268,386.85,2026,"Q2","Hib",""
"Roosevelt Island",10044,99,"10044","24 - 35 months","3 or 4",124,97.48,2026,"Q2","Hib",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months","3 or 4",362,246.14,2026,"Q2","Hib",""
"Lincoln Square",10069,99,"10069","24 - 35 months","3 or 4",90,61.58,2026,"Q2","Hib",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months","3 or 4",227,180.1,2026,"Q2","Hib",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months","3 or 4",473,443.68,2026,"Q2","Hib",""
"Battery Park City",10280,43,"10280","24 - 35 months","3 or 4",58,134.74,2026,"Q2","Hib",""
"Battery Park City",10282,79,"10282","24 - 35 months","3 or 4",92,116.84,2026,"Q2","Hib",""
"Silver Lake/St. George",10301,77,"10301","24 - 35 months","3 or 4",302,390.6,2026,"Q2","Hib",""
"Elm Park",10302,63,"10302","24 - 35 months","3 or 4",154,244,2026,"Q2","Hib",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,63,"10303","24 - 35 months","3 or 4",200,319.1,2026,"Q2","Hib",""
"New Dorp/Todt Hill",10304,58,"10304","24 - 35 months","3 or 4",277,474.05,2026,"Q2","Hib",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,67,"10305","24 - 35 months","3 or 4",280,417.59,2026,"Q2","Hib",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,59,"10306","24 - 35 months","3 or 4",327,554.92,2026,"Q2","Hib",""
"Tottenville",10307,52,"10307","24 - 35 months","3 or 4",73,141.45,2026,"Q2","Hib",""
"Great Kills",10308,59,"10308","24 - 35 months","3 or 4",167,282.9,2026,"Q2","Hib",""
"Charleston/Prince's Bay/Woodrow",10309,51,"10309","24 - 35 months","3 or 4",180,349.71,2026,"Q2","Hib",""
"Port Richmond/Randall Manor/West Brighton",10310,66,"10310","24 - 35 months","3 or 4",198,298.22,2026,"Q2","Hib",""
"Annadale/Rossville",10312,58,"10312","24 - 35 months","3 or 4",341,589.56,2026,"Q2","Hib",""
"Bloomfield/Freshkills Park",10314,62,"10314","24 - 35 months","3 or 4",569,917.08,2026,"Q2","Hib",""
"Concourse/Melrose",10451,91,"10451","24 - 35 months","3 or 4",523,574.64,2026,"Q2","Hib",""
