"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,54,"10001, 10118","13 - 17 years",1,368,683.7,"2023 - 24","Q2","Flu",
"Chinatown/Lower East Side",10002,53,"10002","13 - 17 years",1,1664,3160.5,"2023 - 24","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,39,"10003","13 - 17 years",1,360,928.53,"2023 - 24","Q2","Flu",
"Financial District",10004,99,"10004","13 - 17 years",1,90,74.91,"2023 - 24","Q2","Flu",
"Financial District",10005,96,"10005","13 - 17 years",1,79,82.63,"2023 - 24","Q2","Flu",
"Financial District",10006,99,"10006","13 - 17 years",1,85,67.09,"2023 - 24","Q2","Flu",
"TriBeCa",10007,86,"10007","13 - 17 years",1,182,210.74,"2023 - 24","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,29,"10009","13 - 17 years",1,569,1991.53,"2023 - 24","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,60,"10010","13 - 17 years",1,356,589.14,"2023 - 24","Q2","Flu",
"Chelsea",10011,46,"10011","13 - 17 years",1,503,1088.19,"2023 - 24","Q2","Flu",
"Greenwich Village/SoHo",10012,39,"10012","13 - 17 years",1,210,533.8,"2023 - 24","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,64,"10013","13 - 17 years",1,578,910.1,"2023 - 24","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,42,"10014","13 - 17 years",1,263,628.46,"2023 - 24","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,61,"10016","13 - 17 years",1,492,812.17,"2023 - 24","Q2","Flu",
"East Midtown/Murray Hill",10017,99,"10017","13 - 17 years",1,806,224.8,"2023 - 24","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,66,"10018","13 - 17 years",1,85,129.3,"2023 - 24","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,57,"10019, 10020","13 - 17 years",1,460,806.89,"2023 - 24","Q2","Flu",
"Lenox Hill/Upper East Side",10021,61,"10021","13 - 17 years",1,689,1138.75,"2023 - 24","Q2","Flu",
"East Midtown",10022,58,"10022","13 - 17 years",1,383,655.17,"2023 - 24","Q2","Flu",
"Lincoln Square",10023,53,"10023","13 - 17 years",1,1055,1992.63,"2023 - 24","Q2","Flu",
"Upper West Side",10024,50,"10024","13 - 17 years",1,1328,2661.8,"2023 - 24","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,40,"10025","13 - 17 years",1,1477,3724.66,"2023 - 24","Q2","Flu",
"Central Harlem (South)",10026,40,"10026","13 - 17 years",1,651,1640.98,"2023 - 24","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,38,"10027","13 - 17 years",1,1057,2796.81,"2023 - 24","Q2","Flu",
"Upper East Side/Yorkville",10028,45,"10028","13 - 17 years",1,867,1911.92,"2023 - 24","Q2","Flu",
"East Harlem",10029,40,"10029","13 - 17 years",1,1665,4168.6,"2023 - 24","Q2","Flu",
"Central Harlem (North)",10030,27,"10030","13 - 17 years",1,456,1690.99,"2023 - 24","Q2","Flu",
"Hamilton Heights/West Harlem",10031,30,"10031","13 - 17 years",1,850,2791.76,"2023 - 24","Q2","Flu",
"Washington Heights (South)",10032,34,"10032","13 - 17 years",1,867,2565.89,"2023 - 24","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,35,"10033","13 - 17 years",1,884,2518.48,"2023 - 24","Q2","Flu",
"Inwood/Washington Heights (North)",10034,30,"10034","13 - 17 years",1,589,1945.1,"2023 - 24","Q2","Flu",
"East Harlem",10035,35,"10035","13 - 17 years",1,731,2106.51,"2023 - 24","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,81,"10036","13 - 17 years",1,434,537.18,"2023 - 24","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,99,"10037","13 - 17 years",1,1380,808.44,"2023 - 24","Q2","Flu",
"Chinatown/Financial District",10038,52,"10038","13 - 17 years",1,358,684.9,"2023 - 24","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,27,"10039","13 - 17 years",1,507,1880.86,"2023 - 24","Q2","Flu",
"Washington Heights (North)",10040,31,"10040","13 - 17 years",1,628,2042.64,"2023 - 24","Q2","Flu",
"Roosevelt Island",10044,30,"10044","13 - 17 years",1,171,570.16,"2023 - 24","Q2","Flu",
"Lenox Hill/Upper East Side",10065,62,"10065","13 - 17 years",1,481,779.24,"2023 - 24","Q2","Flu",
"Lincoln Square",10069,99,"10069","13 - 17 years",1,194,196.39,"2023 - 24","Q2","Flu",
"Lenox Hill/Upper East Side",10075,62,"10075, 10162","13 - 17 years",1,519,837.3,"2023 - 24","Q2","Flu",
"Upper East Side/Yorkville",10128,44,"10128","13 - 17 years",1,1108,2518.52,"2023 - 24","Q2","Flu",
"Battery Park City",10280,47,"10280","13 - 17 years",1,129,274.25,"2023 - 24","Q2","Flu",
"Battery Park City",10282,61,"10282","13 - 17 years",1,120,195.33,"2023 - 24","Q2","Flu",
"Silver Lake/St. George",10301,28,"10301","13 - 17 years",1,643,2325.39,"2023 - 24","Q2","Flu",
"Elm Park",10302,32,"10302","13 - 17 years",1,462,1433.98,"2023 - 24","Q2","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,25,"10303","13 - 17 years",1,537,2124.68,"2023 - 24","Q2","Flu",
"New Dorp/Todt Hill",10304,28,"10304","13 - 17 years",1,823,2982.3,"2023 - 24","Q2","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,24,"10305","13 - 17 years",1,590,2488.64,"2023 - 24","Q2","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,20,"10306","13 - 17 years",1,692,3508.41,"2023 - 24","Q2","Flu",
"Tottenville",10307,9,"10307","13 - 17 years",1,98,1066.7,"2023 - 24","Q2","Flu",
"Great Kills",10308,17,"10308","13 - 17 years",1,312,1830.52,"2023 - 24","Q2","Flu",
"Charleston/Prince's Bay/Woodrow",10309,16,"10309","13 - 17 years",1,345,2157.09,"2023 - 24","Q2","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,25,"10310","13 - 17 years",1,488,1915.75,"2023 - 24","Q2","Flu",
"Annadale/Rossville",10312,19,"10312","13 - 17 years",1,736,3944.58,"2023 - 24","Q2","Flu",
"Bloomfield/Freshkills Park",10314,21,"10314","13 - 17 years",1,1186,5753.87,"2023 - 24","Q2","Flu",
"Concourse/Melrose",10451,43,"10451","13 - 17 years",1,1375,3168.9,"2023 - 24","Q2","Flu",
"Concourse/Highbridge",10452,40,"10452","13 - 17 years",1,2197,5428.31,"2023 - 24","Q2","Flu",
"Morris Heights/Mount Hope/University Heights",10453,37,"10453","13 - 17 years",1,2126,5716.64,"2023 - 24","Q2","Flu",
"Mott Haven/Port Morris",10454,41,"10454","13 - 17 years",1,1218,2967.77,"2023 - 24","Q2","Flu",
"Mott Haven",10455,39,"10455","13 - 17 years",1,1222,3134.64,"2023 - 24","Q2","Flu",
"Claremont/Morrisania",10456,39,"10456","13 - 17 years",1,2523,6420.68,"2023 - 24","Q2","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,37,"10457","13 - 17 years",1,2152,5872.53,"2023 - 24","Q2","Flu",
"Belmont/Fordham University/Kingsbridge",10458,37,"10458","13 - 17 years",1,2015,5475.5,"2023 - 24","Q2","Flu",
"Charlotte Gardens/Hunts Point",10459,30,"10459","13 - 17 years",1,1082,3604.76,"2023 - 24","Q2","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,31,"10460","13 - 17 years",1,1399,4545.68,"2023 - 24","Q2","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,31,"10461","13 - 17 years",1,889,2841.4,"2023 - 24","Q2","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,44,"10462","13 - 17 years",1,1876,4299.38,"2023 - 24","Q2","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,34,"10463","13 - 17 years",1,1186,3489.36,"2023 - 24","Q2","Flu",
"City Island",10464,99,"10464","13 - 17 years",1,362,244.67,"2023 - 24","Q2","Flu",
"Country Club/Throgs Neck",10465,24,"10465","13 - 17 years",1,684,2899.48,"2023 - 24","Q2","Flu",
"Edenwald/Wakefield",10466,26,"10466","13 - 17 years",1,1278,4910.89,"2023 - 24","Q2","Flu",
