"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","Citywide","Asian, non-Hispanic","Black, non-Hispanic","Hispanic/Latino","White, non-Hispanic"
2022,"Q4","13 years","HPV","2 or 3",46,60,43,56,14
2023,"Q4","13 years","HPV","2 or 3",46,60,45,60,14
2024,"Q4","13 years","HPV","2 or 3",45,61,46,60,14
2025,"Q4","13 years","HPV","2 or 3",46,67,45,61,14
2026,"Q2","13 years","HPV","2 or 3",46,65,45,60,14
