"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","24 - 35 months","PCV",4,"Citywide",68
2026,"Q2","24 - 35 months","PCV",4,"Bronx",71
2026,"Q2","24 - 35 months","PCV",4,"Brooklyn",57
2026,"Q2","24 - 35 months","PCV",4,"Manhattan",77
2026,"Q2","24 - 35 months","PCV",4,"Queens",76
2026,"Q2","24 - 35 months","PCV",4,"Staten Island",59
