"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Port Richmond/Randall Manor/West Brighton",10310,36,"10310","13 years","2 or 3",130,359.01,2026,"Q2","HPV",""
"Annadale/Rossville",10312,15,"10312","13 years","2 or 3",115,785.18,2026,"Q2","HPV",""
"Bloomfield/Freshkills Park",10314,20,"10314","13 years","2 or 3",230,1148.22,2026,"Q2","HPV",""
"Concourse/Melrose",10451,86,"10451","13 years","2 or 3",534,618.99,2026,"Q2","HPV",""
"Concourse/Highbridge",10452,67,"10452","13 years","2 or 3",755,1128.5,2026,"Q2","HPV",""
"Morris Heights/Mount Hope/University Heights",10453,67,"10453","13 years","2 or 3",789,1174.93,2026,"Q2","HPV",""
"Mott Haven/Port Morris",10454,66,"10454","13 years","2 or 3",398,604.79,2026,"Q2","HPV",""
"Mott Haven",10455,72,"10455","13 years","2 or 3",465,649.85,2026,"Q2","HPV",""
"Claremont/Morrisania",10456,69,"10456","13 years","2 or 3",900,1298.5,2026,"Q2","HPV",""
"Belmont/Claremont/Mount Hope/Tremont",10457,65,"10457","13 years","2 or 3",775,1185.18,2026,"Q2","HPV",""
"Belmont/Fordham University/Kingsbridge",10458,62,"10458","13 years","2 or 3",690,1113.37,2026,"Q2","HPV",""
"Charlotte Gardens/Hunts Point",10459,64,"10459","13 years","2 or 3",476,740.93,2026,"Q2","HPV",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,63,"10460","13 years","2 or 3",583,924.83,2026,"Q2","HPV",""
"Morris Park/Pelham Bay/Westchester Square",10461,49,"10461","13 years","2 or 3",292,595.58,2026,"Q2","HPV",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,62,"10462","13 years","2 or 3",552,888.77,2026,"Q2","HPV",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,53,"10463","13 years","2 or 3",377,705.69,2026,"Q2","HPV",""
"City Island",10464,91,"10464","13 years","2 or 3",56,61.68,2026,"Q2","HPV",""
"Country Club/Throgs Neck",10465,33,"10465","13 years","2 or 3",205,619.01,2026,"Q2","HPV",""
"Edenwald/Wakefield",10466,48,"10466","13 years","2 or 3",470,987.45,2026,"Q2","HPV",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,63,"10467","13 years","2 or 3",759,1206.16,2026,"Q2","HPV",""
"Fordham/Kingsbridge/University Heights",10468,63,"10468","13 years","2 or 3",691,1091.83,2026,"Q2","HPV",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,47,"10469","13 years","2 or 3",419,887.08,2026,"Q2","HPV",""
"Wakefield/Woodlawn",10470,49,"10470","13 years","2 or 3",85,174.06,2026,"Q2","HPV",""
"Fieldston/North Riverdale/Riverdale",10471,33,"10471","13 years","2 or 3",67,200.24,2026,"Q2","HPV",""
"Soundview",10472,74,"10472","13 years","2 or 3",635,853.88,2026,"Q2","HPV",""
"Castle Hill/Clason Point/Soundview",10473,50,"10473","13 years","2 or 3",428,854.06,2026,"Q2","HPV",""
"Hunts Point",10474,64,"10474","13 years","2 or 3",114,177.83,2026,"Q2","HPV",""
"Co-op City/Edenwald",10475,37,"10475","13 years","2 or 3",154,414.92,2026,"Q2","HPV",""
"Bellerose/Douglaston-Little Neck",11004,83,"11004, 11005","13 years","2 or 3",191,229.19,2026,"Q2","HPV",""
"Astoria (South)/Long Island City/Sunnyside",11101,74,"11101","13 years","2 or 3",234,315.94,2026,"Q2","HPV",""
"Astoria (North)",11102,39,"11102","13 years","2 or 3",99,253.77,2026,"Q2","HPV",""
"Astoria (North)/Astoria (South)",11103,28,"11103","13 years","2 or 3",78,278.95,2026,"Q2","HPV",""
"Sunnyside",11104,49,"11104","13 years","2 or 3",106,214.74,2026,"Q2","HPV",""
"Ditmars Steinway",11105,24,"11105","13 years","2 or 3",68,284.6,2026,"Q2","HPV",""
"Astoria (South)",11106,38,"11106","13 years","2 or 3",114,302.73,2026,"Q2","HPV",""
"Long Island City",11109,0,"11109","13 years","2 or 3",,11.47,2026,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,45,"11201","13 years","2 or 3",162,361.26,2026,"Q2","HPV",""
"East Flatbush (North)/East Flatbush (South)",11203,44,"11203","13 years","2 or 3",313,710.82,2026,"Q2","HPV",""
"Bensonhurst/Mapleton",11204,29,"11204","13 years","2 or 3",353,1213.6,2026,"Q2","HPV",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,20,"11205","13 years","2 or 3",109,546.36,2026,"Q2","HPV",""
"Williamsburg (South)",11206,22,"11206","13 years","2 or 3",293,1304.45,2026,"Q2","HPV",""
"Cypress Hills/East New York",11207,51,"11207","13 years","2 or 3",619,1222.75,2026,"Q2","HPV",""
"Cypress Hills/East New York",11208,51,"11208","13 years","2 or 3",778,1517.97,2026,"Q2","HPV",""
"Bay Ridge/Fort Hamilton",11209,28,"11209","13 years","2 or 3",211,748,2026,"Q2","HPV",""
"Flatlands/Midwood",11210,20,"11210","13 years","2 or 3",169,831.78,2026,"Q2","HPV",""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,10,"11211, 11249","13 years","2 or 3",138,1384.66,2026,"Q2","HPV",""
"Ocean Hill-Brownsville",11212,52,"11212","13 years","2 or 3",610,1163.24,2026,"Q2","HPV",""
"Crown Heights (East)",11213,24,"11213","13 years","2 or 3",219,911.44,2026,"Q2","HPV",""
"Bath Beach/Bensonhurst/Gravesend",11214,41,"11214","13 years","2 or 3",432,1044.42,2026,"Q2","HPV",""
