"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,92,"10001, 10118","24 - 35 months",106,114.8,2021,"Q4",4313314,""
"Chinatown/Lower East Side",10002,78,"10002","24 - 35 months",423,543.19,2021,"Q4",4313314,""
"East Village/Gramercy/Greenwich Village",10003,80,"10003","24 - 35 months",190,238.46,2021,"Q4",4313314,""
"Financial District",10004,66,"10004","24 - 35 months",27,40.79,2021,"Q4",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",61,52.94,2021,"Q4",4313314,""
"Financial District",10006,99,"10006","24 - 35 months",23,22.41,2021,"Q4",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,61,"10007","24 - 35 months",70,114.42,2021,"Q4",4313314,""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,78,"10009","24 - 35 months",261,334.12,2021,"Q4",4313314,""
"Flatiron/Gramercy/Kips Bay",10010,84,"10010","24 - 35 months",160,190.48,2021,"Q4",4313314,""
"Chelsea",10011,64,"10011","24 - 35 months",198,311.47,2021,"Q4",4313314,""
"Greenwich Village/SoHo",10012,63,"10012","24 - 35 months",79,126.37,2021,"Q4",4313314,""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,75,"10013","24 - 35 months",208,276.97,2021,"Q4",4313314,""
"Hudson Square/Meatpacking District/West Village",10014,63,"10014","24 - 35 months",101,161.23,2021,"Q4",4313314,""
"Kips Bay/Murray Hill/NoMad",10016,92,"10016","24 - 35 months",309,335.43,2021,"Q4",4313314,""
"East Midtown/Murray Hill",10017,91,"10017","24 - 35 months",77,84.4,2021,"Q4",4313314,""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",48,45.06,2021,"Q4",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,87,"10019, 10020","24 - 35 months",230,263.88,2021,"Q4",4313314,""
"Lenox Hill/Upper East Side",10021,83,"10021","24 - 35 months",290,348.79,2021,"Q4",4313314,""
"East Midtown",10022,78,"10022","24 - 35 months",172,220.45,2021,"Q4",4313314,""
"Lincoln Square",10023,65,"10023","24 - 35 months",415,634.32,2021,"Q4",4313314,""
"Upper West Side",10024,61,"10024","24 - 35 months",363,596.44,2021,"Q4",4313314,""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,61,"10025","24 - 35 months",446,734.58,2021,"Q4",4313314,""
"Central Harlem (South)",10026,52,"10026","24 - 35 months",213,411.4,2021,"Q4",4313314,""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,55,"10027","24 - 35 months",330,601.46,2021,"Q4",4313314,""
"Upper East Side/Yorkville",10028,62,"10028","24 - 35 months",218,351.43,2021,"Q4",4313314,""
"East Harlem",10029,69,"10029","24 - 35 months",520,754.51,2021,"Q4",4313314,""
"Central Harlem (North)",10030,47,"10030","24 - 35 months",172,364.55,2021,"Q4",4313314,""
"Hamilton Heights/West Harlem",10031,62,"10031","24 - 35 months",322,515.41,2021,"Q4",4313314,""
"Washington Heights (South)",10032,63,"10032","24 - 35 months",320,510.85,2021,"Q4",4313314,""
"Washington Heights (North)/Washington Heights (South)",10033,64,"10033","24 - 35 months",345,536.23,2021,"Q4",4313314,""
"Inwood/Washington Heights (North)",10034,69,"10034","24 - 35 months",257,373.06,2021,"Q4",4313314,""
"East Harlem",10035,65,"10035","24 - 35 months",249,380.72,2021,"Q4",4313314,""
"Hell's Kitchen/Midtown Manhattan",10036,68,"10036","24 - 35 months",116,171.17,2021,"Q4",4313314,""
"Central Harlem (North)/East Harlem",10037,74,"10037","24 - 35 months",131,177.25,2021,"Q4",4313314,""
"Chinatown/Financial District",10038,72,"10038","24 - 35 months",106,147.97,2021,"Q4",4313314,""
"Central Harlem (North)/Washington Heights (South)",10039,54,"10039","24 - 35 months",186,345.01,2021,"Q4",4313314,""
"Washington Heights (North)",10040,69,"10040","24 - 35 months",269,390.29,2021,"Q4",4313314,""
"Roosevelt Island",10044,78,"10044","24 - 35 months",87,112.07,2021,"Q4",4313314,""
"Lenox Hill/Upper East Side",10065,88,"10065","24 - 35 months",237,269.16,2021,"Q4",4313314,""
"Lincoln Square",10069,99,"10069","24 - 35 months",71,62.85,2021,"Q4",4313314,""
"Lenox Hill/Upper East Side",10075,86,"10075, 10162","24 - 35 months",173,200.95,2021,"Q4",4313314,""
"Upper East Side/Yorkville",10128,79,"10128","24 - 35 months",366,464.08,2021,"Q4",4313314,""
"Battery Park City",10280,50,"10280","24 - 35 months",76,152.22,2021,"Q4",4313314,""
"Battery Park City",10282,46,"10282","24 - 35 months",65,140.3,2021,"Q4",4313314,""
"Silver Lake/St. George",10301,57,"10301","24 - 35 months",230,406.03,2021,"Q4",4313314,""
"Elm Park",10302,50,"10302","24 - 35 months",122,242.63,2021,"Q4",4313314,""
"Graniteville/Mariner's Harbor/Port Ivory",10303,52,"10303","24 - 35 months",181,351.13,2021,"Q4",4313314,""
"New Dorp/Todt Hill",10304,59,"10304","24 - 35 months",285,482.44,2021,"Q4",4313314,""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,51,"10305","24 - 35 months",225,440.94,2021,"Q4",4313314,""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,46,"10306","24 - 35 months",261,569.34,2021,"Q4",4313314,""
"Tottenville",10307,23,"10307","24 - 35 months",34,145.5,2021,"Q4",4313314,""
"Great Kills",10308,31,"10308","24 - 35 months",92,297.79,2021,"Q4",4313314,""
"Charleston/Prince's Bay/Woodrow",10309,27,"10309","24 - 35 months",97,362.08,2021,"Q4",4313314,""
"Port Richmond/Randall Manor/West Brighton",10310,56,"10310","24 - 35 months",178,317.44,2021,"Q4",4313314,""
"Annadale/Rossville",10312,38,"10312","24 - 35 months",232,615.44,2021,"Q4",4313314,""
"Bloomfield/Freshkills Park",10314,41,"10314","24 - 35 months",402,970.5,2021,"Q4",4313314,""
"Concourse/Melrose",10451,71,"10451","24 - 35 months",463,648.96,2021,"Q4",4313314,""
"Concourse/Highbridge",10452,66,"10452","24 - 35 months",735,1121.87,2021,"Q4",4313314,""
"Morris Heights/Mount Hope/University Heights",10453,71,"10453","24 - 35 months",801,1128.46,2021,"Q4",4313314,""
"Mott Haven/Port Morris",10454,60,"10454","24 - 35 months",340,562.82,2021,"Q4",4313314,""
"Mott Haven",10455,65,"10455","24 - 35 months",375,578.15,2021,"Q4",4313314,""
"Claremont/Morrisania",10456,70,"10456","24 - 35 months",883,1266.17,2021,"Q4",4313314,""
"Belmont/Claremont/Mount Hope/Tremont",10457,66,"10457","24 - 35 months",767,1163.66,2021,"Q4",4313314,""
"Belmont/Fordham University/Kingsbridge",10458,69,"10458","24 - 35 months",771,1123.63,2021,"Q4",4313314,""
"Charlotte Gardens/Hunts Point",10459,61,"10459","24 - 35 months",472,768.31,2021,"Q4",4313314,""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,66,"10460","24 - 35 months",547,833.74,2021,"Q4",4313314,""
"Morris Park/Pelham Bay/Westchester Square",10461,70,"10461","24 - 35 months",412,588.18,2021,"Q4",4313314,""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,86,"10462","24 - 35 months",802,929.69,2021,"Q4",4313314,""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,67,"10463","24 - 35 months",547,821.55,2021,"Q4",4313314,""
"City Island",10464,99,"10464","24 - 35 months",52,35.73,2021,"Q4",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Country Club/Throgs Neck",10465,51,"10465","24 - 35 months",256,505.21,2021,"Q4",4313314,""
"Edenwald/Wakefield",10466,54,"10466","24 - 35 months",451,841.74,2021,"Q4",4313314,""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,71,"10467","24 - 35 months",904,1268.34,2021,"Q4",4313314,""
"Fordham/Kingsbridge/University Heights",10468,68,"10468","24 - 35 months",733,1080.4,2021,"Q4",4313314,""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,52,"10469","24 - 35 months",427,826.86,2021,"Q4",4313314,""
"Wakefield/Woodlawn",10470,72,"10470","24 - 35 months",137,190.72,2021,"Q4",4313314,""
"Fieldston/North Riverdale/Riverdale",10471,44,"10471","24 - 35 months",109,249.45,2021,"Q4",4313314,""
"Soundview",10472,74,"10472","24 - 35 months",627,842.88,2021,"Q4",4313314,""
"Castle Hill/Clason Point/Soundview",10473,72,"10473","24 - 35 months",425,591.86,2021,"Q4",4313314,""
"Hunts Point",10474,76,"10474","24 - 35 months",122,161.15,2021,"Q4",4313314,""
"Co-op City/Edenwald",10475,50,"10475","24 - 35 months",164,330.54,2021,"Q4",4313314,""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",195,177.36,2021,"Q4",4313314,""
"Astoria (South)/Long Island City/Sunnyside",11101,96,"11101","24 - 35 months",344,357.29,2021,"Q4",4313314,""
"Astoria (North)",11102,93,"11102","24 - 35 months",220,236.51,2021,"Q4",4313314,""
"Astoria (North)/Astoria (South)",11103,68,"11103","24 - 35 months",197,290.48,2021,"Q4",4313314,""
"Sunnyside",11104,65,"11104","24 - 35 months",174,267.46,2021,"Q4",4313314,""
"Ditmars Steinway",11105,64,"11105","24 - 35 months",216,336.14,2021,"Q4",4313314,""
"Astoria (South)",11106,72,"11106","24 - 35 months",257,355.12,2021,"Q4",4313314,""
"Long Island City",11109,99,"11109","24 - 35 months",87,84.87,2021,"Q4",4313314,""
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,75,"11201","24 - 35 months",617,824.64,2021,"Q4",4313314,""
"East Flatbush (North)/East Flatbush (South)",11203,52,"11203","24 - 35 months",391,746.57,2021,"Q4",4313314,""
"Bensonhurst/Mapleton",11204,44,"11204","24 - 35 months",516,1184.07,2021,"Q4",4313314,""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,27,"11205","24 - 35 months",277,1039.55,2021,"Q4",4313314,""
"Williamsburg (South)",11206,24,"11206","24 - 35 months",359,1504.7,2021,"Q4",4313314,""
"Cypress Hills/East New York",11207,56,"11207","24 - 35 months",691,1228.61,2021,"Q4",4313314,""
"Cypress Hills/East New York",11208,65,"11208","24 - 35 months",883,1349.38,2021,"Q4",4313314,""
"Bay Ridge/Fort Hamilton",11209,58,"11209","24 - 35 months",441,762.9,2021,"Q4",4313314,""
"Flatlands/Midwood",11210,54,"11210","24 - 35 months",424,790.67,2021,"Q4",4313314,""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,22,"11211, 11249","24 - 35 months",441,1989.13,2021,"Q4",4313314,""
"Ocean Hill-Brownsville",11212,57,"11212","24 - 35 months",602,1063.22,2021,"Q4",4313314,""
"Crown Heights (East)",11213,32,"11213","24 - 35 months",326,1012.09,2021,"Q4",4313314,""
"Bath Beach/Bensonhurst/Gravesend",11214,65,"11214","24 - 35 months",659,1019.4,2021,"Q4",4313314,""
"Gowanus/Park Slope/Windsor Terrace",11215,64,"11215","24 - 35 months",587,916.23,2021,"Q4",4313314,""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,46,"11216","24 - 35 months",276,597.06,2021,"Q4",4313314,""
"Boerum Hill/Park Slope",11217,65,"11217, 11243","24 - 35 months",334,512.98,2021,"Q4",4313314,""
"Kensington/Windsor Terrace",11218,50,"11218","24 - 35 months",553,1114.75,2021,"Q4",4313314,""
"Borough Park",11219,33,"11219","24 - 35 months",711,2151.95,2021,"Q4",4313314,""
"Sunset Park",11220,88,"11220","24 - 35 months",1076,1217.84,2021,"Q4",4313314,""
"Bedford-Stuyvesant (East)/Bushwick",11221,47,"11221","24 - 35 months",449,950.52,2021,"Q4",4313314,""
"Greenpoint",11222,76,"11222","24 - 35 months",210,276.86,2021,"Q4",4313314,""
"Gravesend/Homecrest",11223,58,"11223","24 - 35 months",574,992.72,2021,"Q4",4313314,""
"Brighton Beach/Coney Island/Seagate",11224,55,"11224","24 - 35 months",236,430.55,2021,"Q4",4313314,""
"Crown Heights (West)/Prospect Lefferts Gardens",11225,42,"11225","24 - 35 months",310,737.7,2021,"Q4",4313314,""
"Flatbush/Prospect Lefferts Gardens",11226,55,"11226","24 - 35 months",645,1168.99,2021,"Q4",4313314,""
"Bath Beach/Dyker Heights",11228,64,"11228","24 - 35 months",294,458.03,2021,"Q4",4313314,""
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,56,"11229","24 - 35 months",489,874.16,2021,"Q4",4313314,""
"Midwood",11230,52,"11230","24 - 35 months",706,1362.48,2021,"Q4",4313314,""
"Carroll Gardens/Cobble Hill/Red Hook",11231,54,"11231","24 - 35 months",285,531.06,2021,"Q4",4313314,""
"Sunset Park",11232,59,"11232","24 - 35 months",207,352.24,2021,"Q4",4313314,""
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,39,"11233","24 - 35 months",414,1067.36,2021,"Q4",4313314,""
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,54,"11234","24 - 35 months",516,958.78,2021,"Q4",4313314,""
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,61,"11235","24 - 35 months",460,758.53,2021,"Q4",4313314,""
"Canarsie",11236,57,"11236","24 - 35 months",579,1022.15,2021,"Q4",4313314,""
"Bushwick/East Williamsburg",11237,60,"11237","24 - 35 months",319,533.43,2021,"Q4",4313314,""
"Clinton Hill/Prospect Heights",11238,64,"11238","24 - 35 months",415,647.51,2021,"Q4",4313314,""
"East New York",11239,62,"11239","24 - 35 months",90,144.98,2021,"Q4",4313314,""
"Flushing/Murray Hill",11354,96,"11354","24 - 35 months",425,443.38,2021,"Q4",4313314,""
"Flushing/Murray Hill/Queensboro Hill",11355,99,"11355","24 - 35 months",821,675.54,2021,"Q4",4313314,""
"College Point",11356,72,"11356","24 - 35 months",248,342.65,2021,"Q4",4313314,""
"Whitestone",11357,51,"11357","24 - 35 months",214,415.9,2021,"Q4",4313314,""
"Auburndale/Murray Hill",11358,79,"11358","24 - 35 months",277,351.5,2021,"Q4",4313314,""
"Bayside (North)",11360,50,"11360","24 - 35 months",81,161.49,2021,"Q4",4313314,""
"Bayside (North)/Bayside (South)",11361,55,"11361","24 - 35 months",153,275.74,2021,"Q4",4313314,""
"Douglaston-Little Neck",11362,61,"11362","24 - 35 months",89,146.98,2021,"Q4",4313314,""
"Douglaston-Little Neck",11363,66,"11363","24 - 35 months",35,53.26,2021,"Q4",4313314,""
"Bayside (South)/Oakland Gardens",11364,58,"11364","24 - 35 months",192,332.31,2021,"Q4",4313314,""
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,69,"11365","24 - 35 months",318,459.54,2021,"Q4",4313314,""
"Fresh Meadows/Hillcrest",11366,68,"11366","24 - 35 months",78,114.51,2021,"Q4",4313314,""
"Kew Gardens Hills/Pomonok",11367,59,"11367","24 - 35 months",402,679.8,2021,"Q4",4313314,""
"Corona/North Corona",11368,72,"11368","24 - 35 months",1175,1628.57,2021,"Q4",4313314,""
"Airport/East Elmhurst",11369,95,"11369","24 - 35 months",328,344.66,2021,"Q4",4313314,""
"Jackson Heights/Rikers Island",11370,94,"11370","24 - 35 months",215,227.54,2021,"Q4",4313314,""
"Jackson Heights",11372,71,"11372","24 - 35 months",504,708.04,2021,"Q4",4313314,""
"Elmhurst",11373,81,"11373","24 - 35 months",892,1100.24,2021,"Q4",4313314,""
"Rego Park",11374,77,"11374","24 - 35 months",356,460.23,2021,"Q4",4313314,""
"Forest Hills",11375,68,"11375","24 - 35 months",552,811.59,2021,"Q4",4313314,""
"Woodside",11377,76,"11377","24 - 35 months",663,867.25,2021,"Q4",4313314,""
"Maspeth",11378,52,"11378","24 - 35 months",240,460.29,2021,"Q4",4313314,""
"Middle Village",11379,59,"11379","24 - 35 months",223,378.52,2021,"Q4",4313314,""
"Glendale/Ridgewood",11385,51,"11385","24 - 35 months",649,1260.78,2021,"Q4",4313314,""
"Cambria Heights",11411,52,"11411","24 - 35 months",93,178,2021,"Q4",4313314,""
"St. Albans",11412,61,"11412","24 - 35 months",249,405.21,2021,"Q4",4313314,""
"Laurelton/Rosedale",11413,58,"11413","24 - 35 months",249,426.35,2021,"Q4",4313314,""
"Hamilton Beach/Howard Beach/Lindenwood",11414,47,"11414","24 - 35 months",131,277.5,2021,"Q4",4313314,""
"Kew Gardens",11415,60,"11415","24 - 35 months",136,227.22,2021,"Q4",4313314,""
"Ozone Park",11416,90,"11416","24 - 35 months",285,314.93,2021,"Q4",4313314,""
"Ozone Park",11417,75,"11417","24 - 35 months",252,336.4,2021,"Q4",4313314,""
"Richmond Hill",11418,64,"11418","24 - 35 months",295,462.42,2021,"Q4",4313314,""
"Richmond Hill/South Ozone Park",11419,63,"11419","24 - 35 months",335,527.63,2021,"Q4",4313314,""
"South Ozone Park",11420,60,"11420","24 - 35 months",332,552.64,2021,"Q4",4313314,""
"Woodhaven",11421,62,"11421","24 - 35 months",282,452.38,2021,"Q4",4313314,""
"Rosedale",11422,56,"11422","24 - 35 months",185,332.56,2021,"Q4",4313314,""
"Hollis/Holliswood",11423,83,"11423","24 - 35 months",223,269.62,2021,"Q4",4313314,""
"Bellerose",11426,61,"11426","24 - 35 months",120,198.08,2021,"Q4",4313314,""
"Bellerose/Hollis Hills/Holliswood",11427,61,"11427","24 - 35 months",149,245.78,2021,"Q4",4313314,""
"Queens Village",11428,64,"11428","24 - 35 months",134,208.34,2021,"Q4",4313314,""
"Queens Village",11429,97,"11001, 11429","24 - 35 months",261,269.52,2021,"Q4",4313314,""
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,90,"11432","24 - 35 months",617,685.23,2021,"Q4",4313314,""
"Jamaica",11433,63,"11433","24 - 35 months",294,466.53,2021,"Q4",4313314,""
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,57,"11434","24 - 35 months",439,769.28,2021,"Q4",4313314,""
"Briarwood/Jamaica",11435,69,"11435","24 - 35 months",487,702.94,2021,"Q4",4313314,""
"South Jamaica/South Ozone Park",11436,53,"11436","24 - 35 months",136,258.36,2021,"Q4",4313314,""
"Edgemere/Far Rockaway",11691,50,"11691","24 - 35 months",586,1168.12,2021,"Q4",4313314,""
"Arverne/Edgemere",11692,46,"11692","24 - 35 months",159,345.08,2021,"Q4",4313314,""
"Arverne/Broad Channel",11693,38,"11693","24 - 35 months",58,153.84,2021,"Q4",4313314,""
"Belle Harbor-Neponsit/Rockaway Park",11694,53,"11694","24 - 35 months",108,202.75,2021,"Q4",4313314,""
"Breezy Point",11697,45,"11697","24 - 35 months",15,33.23,2021,"Q4",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
