"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,93,"10001, 10118","6 months - 4 years",491,530,"2021 - 22","Q4","Flu",NA
"Chinatown/Lower East Side",10002,67,"10002","6 months - 4 years",1639,2443,"2021 - 22","Q4","Flu",NA
"East Village/Gramercy/Greenwich Village",10003,87,"10003","6 months - 4 years",850,982,"2021 - 22","Q4","Flu",NA
"Financial District",10004,99,"10004","6 months - 4 years",158,159,"2021 - 22","Q4","Flu",NA
"Financial District",10005,99,"10005","6 months - 4 years",238,225,"2021 - 22","Q4","Flu",NA
"Financial District",10006,99,"10006","6 months - 4 years",123,83,"2021 - 22","Q4","Flu",NA
"TriBeCa",10007,93,"10007","6 months - 4 years",453,488,"2021 - 22","Q4","Flu",NA
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,63,"10009","6 months - 4 years",901,1432,"2021 - 22","Q4","Flu",NA
"Flatiron/Gramercy/Kips Bay",10010,97,"10010","6 months - 4 years",764,785,"2021 - 22","Q4","Flu",NA
"Chelsea",10011,78,"10011","6 months - 4 years",1040,1331,"2021 - 22","Q4","Flu",NA
"Greenwich Village/SoHo",10012,68,"10012","6 months - 4 years",357,525,"2021 - 22","Q4","Flu",NA
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,87,"10013","6 months - 4 years",1015,1171,"2021 - 22","Q4","Flu",NA
"Hudson Square/Meatpacking District/West Village",10014,82,"10014","6 months - 4 years",563,686,"2021 - 22","Q4","Flu",NA
"Kips Bay/Murray Hill/NoMad",10016,87,"10016","6 months - 4 years",1155,1322,"2021 - 22","Q4","Flu",NA
"East Midtown/Murray Hill",10017,94,"10017","6 months - 4 years",323,345,"2021 - 22","Q4","Flu",NA
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","6 months - 4 years",163,147,"2021 - 22","Q4","Flu",NA
"Hell's Kitchen/Midtown Manhattan",10019,83,"10019, 10020","6 months - 4 years",852,1025,"2021 - 22","Q4","Flu",NA
"Lenox Hill/Upper East Side",10021,94,"10021","6 months - 4 years",1371,1456,"2021 - 22","Q4","Flu",NA
"East Midtown",10022,96,"10022","6 months - 4 years",863,895,"2021 - 22","Q4","Flu",NA
"Lincoln Square",10023,71,"10023","6 months - 4 years",1867,2622,"2021 - 22","Q4","Flu",NA
"Upper West Side",10024,68,"10024","6 months - 4 years",1738,2567,"2021 - 22","Q4","Flu",NA
"Manhattan Valley/Morningside Heights/Upper West Side",10025,62,"10025","6 months - 4 years",1978,3177,"2021 - 22","Q4","Flu",NA
"Central Harlem (South)",10026,47,"10026","6 months - 4 years",807,1730,"2021 - 22","Q4","Flu",NA
"Central Harlem (South)/Morningside Heights/West Harlem",10027,42,"10027","6 months - 4 years",1086,2579,"2021 - 22","Q4","Flu",NA
"Upper East Side/Yorkville",10028,70,"10028","6 months - 4 years",1112,1590,"2021 - 22","Q4","Flu",NA
"East Harlem",10029,56,"10029","6 months - 4 years",1821,3273,"2021 - 22","Q4","Flu",NA
"Central Harlem (North)",10030,34,"10030","6 months - 4 years",542,1607,"2021 - 22","Q4","Flu",NA
"Hamilton Heights/West Harlem",10031,45,"10031","6 months - 4 years",1050,2316,"2021 - 22","Q4","Flu",NA
"Washington Heights (South)",10032,41,"10032","6 months - 4 years",912,2222,"2021 - 22","Q4","Flu",NA
