"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,78,"10001, 10118","6 months - 17 years",1535,1959,"2024 - 25","Q4","Flu",
"Chinatown/Lower East Side",10002,40,"10002","6 months - 17 years",4189,10449,"2024 - 25","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,52,"10003","6 months - 17 years",1702,3287,"2024 - 25","Q4","Flu",
"Financial District",10004,85,"10004","6 months - 17 years",336,394,"2024 - 25","Q4","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",515,503,"2024 - 25","Q4","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",403,209,"2024 - 25","Q4","Flu",
"TriBeCa",10007,82,"10007","6 months - 17 years",957,1169,"2024 - 25","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,34,"10009","6 months - 17 years",2109,6150,"2024 - 25","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,68,"10010","6 months - 17 years",1649,2408,"2024 - 25","Q4","Flu",
"Chelsea",10011,50,"10011","6 months - 17 years",2149,4270,"2024 - 25","Q4","Flu",
"Greenwich Village/SoHo",10012,51,"10012","6 months - 17 years",939,1846,"2024 - 25","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,64,"10013","6 months - 17 years",2503,3883,"2024 - 25","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,51,"10014","6 months - 17 years",1206,2380,"2024 - 25","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,61,"10016","6 months - 17 years",2247,3664,"2024 - 25","Q4","Flu",
"East Midtown/Murray Hill",10017,99,"10017","6 months - 17 years",3060,951,"2024 - 25","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,76,"10018","6 months - 17 years",344,454,"2024 - 25","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,75,"10019, 10020","6 months - 17 years",2190,2901,"2024 - 25","Q4","Flu",
"Lenox Hill/Upper East Side",10021,68,"10021","6 months - 17 years",3306,4860,"2024 - 25","Q4","Flu",
"East Midtown",10022,66,"10022","6 months - 17 years",1761,2666,"2024 - 25","Q4","Flu",
"Lincoln Square",10023,59,"10023","6 months - 17 years",4594,7754,"2024 - 25","Q4","Flu",
"Upper West Side",10024,54,"10024","6 months - 17 years",5048,9338,"2024 - 25","Q4","Flu",
