"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",1,200,116.61,2023,"Q2","Varicella",""
"Chinatown/Lower East Side",10002,77,"10002","24 - 35 months",1,386,499.86,2023,"Q2","Varicella",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",1,255,215.86,2023,"Q2","Varicella",""
"Financial District",10004,99,"10004","24 - 35 months",1,45,30.84,2023,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",1,62,50.07,2023,"Q2","Varicella",""
"Financial District",10006,99,"10006","24 - 35 months",1,50,23.48,2023,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",1,113,112.08,2023,"Q2","Varicella",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,88,"10009","24 - 35 months",1,281,318.16,2023,"Q2","Varicella",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",1,204,171.28,2023,"Q2","Varicella",""
"Chelsea",10011,99,"10011","24 - 35 months",1,312,279.64,2023,"Q2","Varicella",""
"Greenwich Village/SoHo",10012,92,"10012","24 - 35 months",1,110,119.57,2023,"Q2","Varicella",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",1,288,237.53,2023,"Q2","Varicella",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",1,165,148.88,2023,"Q2","Varicella",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",1,345,299.54,2023,"Q2","Varicella",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",1,105,79.25,2023,"Q2","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",1,49,41.79,2023,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",1,371,251.18,2023,"Q2","Varicella",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",1,379,310.01,2023,"Q2","Varicella",""
"East Midtown",10022,99,"10022","24 - 35 months",1,266,212.64,2023,"Q2","Varicella",""
"Lincoln Square",10023,96,"10023","24 - 35 months",1,580,601.9,2023,"Q2","Varicella",""
"Upper West Side",10024,90,"10024","24 - 35 months",1,493,548.5,2023,"Q2","Varicella",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,94,"10025","24 - 35 months",1,629,666.23,2023,"Q2","Varicella",""
"Central Harlem (South)",10026,74,"10026","24 - 35 months",1,286,385.28,2023,"Q2","Varicella",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,78,"10027","24 - 35 months",1,446,573.92,2023,"Q2","Varicella",""
"Upper East Side/Yorkville",10028,95,"10028","24 - 35 months",1,305,320.07,2023,"Q2","Varicella",""
"East Harlem",10029,87,"10029","24 - 35 months",1,651,744.67,2023,"Q2","Varicella",""
"Central Harlem (North)",10030,69,"10030","24 - 35 months",1,243,353.8,2023,"Q2","Varicella",""
"Hamilton Heights/West Harlem",10031,87,"10031","24 - 35 months",1,449,515.75,2023,"Q2","Varicella",""
"Washington Heights (South)",10032,80,"10032","24 - 35 months",1,384,478.41,2023,"Q2","Varicella",""
"Washington Heights (North)/Washington Heights (South)",10033,92,"10033","24 - 35 months",1,460,500.25,2023,"Q2","Varicella",""
"Inwood/Washington Heights (North)",10034,83,"10034","24 - 35 months",1,299,360.92,2023,"Q2","Varicella",""
"East Harlem",10035,70,"10035","24 - 35 months",1,269,382.2,2023,"Q2","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",1,247,156.69,2023,"Q2","Varicella",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",1,244,168.37,2023,"Q2","Varicella",""
"Chinatown/Financial District",10038,99,"10038","24 - 35 months",1,149,138.69,2023,"Q2","Varicella",""
"Central Harlem (North)/Washington Heights (South)",10039,68,"10039","24 - 35 months",1,240,350.61,2023,"Q2","Varicella",""
"Washington Heights (North)",10040,84,"10040","24 - 35 months",1,324,384.63,2023,"Q2","Varicella",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",1,135,99.98,2023,"Q2","Varicella",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",1,316,248.21,2023,"Q2","Varicella",""
"Lincoln Square",10069,99,"10069","24 - 35 months",1,107,62.75,2023,"Q2","Varicella",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",1,218,180.71,2023,"Q2","Varicella",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",1,498,446.43,2023,"Q2","Varicella",""
"Battery Park City",10280,54,"10280","24 - 35 months",1,74,136.51,2023,"Q2","Varicella",""
"Battery Park City",10282,79,"10282","24 - 35 months",1,93,117.57,2023,"Q2","Varicella",""
"Silver Lake/St. George",10301,95,"10301","24 - 35 months",1,370,390.22,2023,"Q2","Varicella",""
"Elm Park",10302,82,"10302","24 - 35 months",1,200,242.71,2023,"Q2","Varicella",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,80,"10303","24 - 35 months",1,256,319.18,2023,"Q2","Varicella",""
"New Dorp/Todt Hill",10304,78,"10304","24 - 35 months",1,371,475.51,2023,"Q2","Varicella",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,84,"10305","24 - 35 months",1,351,419.21,2023,"Q2","Varicella",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,74,"10306","24 - 35 months",1,412,556.56,2023,"Q2","Varicella",""
"Tottenville",10307,68,"10307","24 - 35 months",1,96,142.14,2023,"Q2","Varicella",""
