"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","24 - 35 months","Hib","3 or 4","Citywide",71
2026,"Q2","24 - 35 months","Hib","3 or 4","Bronx",72
2026,"Q2","24 - 35 months","Hib","3 or 4","Brooklyn",61
2026,"Q2","24 - 35 months","Hib","3 or 4","Manhattan",81
2026,"Q2","24 - 35 months","Hib","3 or 4","Queens",79
2026,"Q2","24 - 35 months","Hib","3 or 4","Staten Island",62
