"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",235,104.1,2025,"Q2","Varicella",""
"Chinatown/Lower East Side",10002,77,"10002","24 - 35 months",367,479.54,2025,"Q2","Varicella",""
"East Village/Gramercy/Greenwich Village",10003,93,"10003","24 - 35 months",199,214.48,2025,"Q2","Varicella",""
"Financial District",10004,99,"10004","24 - 35 months",44,36.15,2025,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",87,47.51,2025,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",53,20.25,2025,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",110,103.37,2025,"Q2","Varicella",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,88,"10009","24 - 35 months",271,306.78,2025,"Q2","Varicella",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",221,171.38,2025,"Q2","Varicella",""
"Chelsea",10011,89,"10011","24 - 35 months",253,284.31,2025,"Q2","Varicella",""
"Greenwich Village/SoHo",10012,85,"10012","24 - 35 months",97,113.85,2025,"Q2","Varicella",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,96,"10013","24 - 35 months",237,247.54,2025,"Q2","Varicella",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",169,147.55,2025,"Q2","Varicella",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",317,299.62,2025,"Q2","Varicella",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",292,74.86,2025,"Q2","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",50,39.98,2025,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",326,235.96,2025,"Q2","Varicella",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",408,315.32,2025,"Q2","Varicella",""
"East Midtown",10022,99,"10022","24 - 35 months",230,198.48,2025,"Q2","Varicella",""
"Lincoln Square",10023,90,"10023","24 - 35 months",510,569.32,2025,"Q2","Varicella",""
"Upper West Side",10024,92,"10024","24 - 35 months",501,545.26,2025,"Q2","Varicella",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,90,"10025","24 - 35 months",609,672.95,2025,"Q2","Varicella",""
"Central Harlem (South)",10026,68,"10026","24 - 35 months",261,382.16,2025,"Q2","Varicella",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,72,"10027","24 - 35 months",404,558.21,2025,"Q2","Varicella",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",367,318.16,2025,"Q2","Varicella",""
"East Harlem",10029,96,"10029","24 - 35 months",672,700.4,2025,"Q2","Varicella",""
"Central Harlem (North)",10030,60,"10030","24 - 35 months",206,341.63,2025,"Q2","Varicella",""
"Hamilton Heights/West Harlem",10031,82,"10031","24 - 35 months",396,485.02,2025,"Q2","Varicella",""
"Washington Heights (South)",10032,93,"10032","24 - 35 months",446,480.68,2025,"Q2","Varicella",""
