"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",158,104.1,2025,"Q2",4313314,""
"Chinatown/Lower East Side",10002,58,"10002","24 - 35 months",279,479.54,2025,"Q2",4313314,""
"East Village/Gramercy/Greenwich Village",10003,77,"10003","24 - 35 months",166,214.48,2025,"Q2",4313314,""
"Financial District",10004,99,"10004","24 - 35 months",37,36.15,2025,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",57,47.51,2025,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",32,20.25,2025,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,79,"10007","24 - 35 months",82,103.37,2025,"Q2",4313314,""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,66,"10009","24 - 35 months",202,306.78,2025,"Q2",4313314,""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",180,171.38,2025,"Q2",4313314,""
"Chelsea",10011,74,"10011","24 - 35 months",211,284.31,2025,"Q2",4313314,""
"Greenwich Village/SoHo",10012,76,"10012","24 - 35 months",87,113.85,2025,"Q2",4313314,""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,72,"10013","24 - 35 months",179,247.54,2025,"Q2",4313314,""
"Hudson Square/Meatpacking District/West Village",10014,83,"10014","24 - 35 months",123,147.55,2025,"Q2",4313314,""
"Kips Bay/Murray Hill/NoMad",10016,79,"10016","24 - 35 months",238,299.62,2025,"Q2",4313314,""
"East Midtown/Murray Hill",10017,95,"10017","24 - 35 months",71,74.86,2025,"Q2",4313314,""
