"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Graniteville/Mariner's Harbor/Port Ivory",10303,31,"10303","6 months - 4 years",1,462,1488.74,"2023 - 24","Q4","Flu",
"New Dorp/Todt Hill",10304,38,"10304","6 months - 4 years",1,846,2239.09,"2023 - 24","Q4","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,39,"10305","6 months - 4 years",1,752,1909.8,"2023 - 24","Q4","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,35,"10306","6 months - 4 years",1,879,2536.91,"2023 - 24","Q4","Flu",
"Tottenville",10307,29,"10307","6 months - 4 years",1,195,684.05,"2023 - 24","Q4","Flu",
"Great Kills",10308,38,"10308","6 months - 4 years",1,485,1287.33,"2023 - 24","Q4","Flu",
"Charleston/Prince's Bay/Woodrow",10309,30,"10309","6 months - 4 years",1,502,1686.16,"2023 - 24","Q4","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,38,"10310","6 months - 4 years",1,531,1414.46,"2023 - 24","Q4","Flu",
"Annadale/Rossville",10312,35,"10312","6 months - 4 years",1,991,2808.97,"2023 - 24","Q4","Flu",
"Bloomfield/Freshkills Park",10314,39,"10314","6 months - 4 years",1,1635,4194.96,"2023 - 24","Q4","Flu",
"Concourse/Melrose",10451,48,"10451","6 months - 4 years",1,1238,2579.06,"2023 - 24","Q4","Flu",
"Concourse/Highbridge",10452,40,"10452","6 months - 4 years",1,1965,4868.33,"2023 - 24","Q4","Flu",
"Morris Heights/Mount Hope/University Heights",10453,39,"10453","6 months - 4 years",1,1910,4886.05,"2023 - 24","Q4","Flu",
"Mott Haven/Port Morris",10454,37,"10454","6 months - 4 years",1,912,2457.54,"2023 - 24","Q4","Flu",
"Mott Haven",10455,45,"10455","6 months - 4 years",1,1158,2577.92,"2023 - 24","Q4","Flu",
"Claremont/Morrisania",10456,43,"10456","6 months - 4 years",1,2367,5450.46,"2023 - 24","Q4","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,40,"10457","6 months - 4 years",1,2063,5142.21,"2023 - 24","Q4","Flu",
"Belmont/Fordham University/Kingsbridge",10458,40,"10458","6 months - 4 years",1,1949,4917.5,"2023 - 24","Q4","Flu",
"Charlotte Gardens/Hunts Point",10459,37,"10459","6 months - 4 years",1,1158,3138.19,"2023 - 24","Q4","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,40,"10460","6 months - 4 years",1,1529,3825.43,"2023 - 24","Q4","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,45,"10461","6 months - 4 years",1,1185,2645.63,"2023 - 24","Q4","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,48,"10462","6 months - 4 years",1,2013,4155.56,"2023 - 24","Q4","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,47,"10463","6 months - 4 years",1,1613,3410.28,"2023 - 24","Q4","Flu",
"City Island",10464,99,"10464","6 months - 4 years",1,247,153.78,"2023 - 24","Q4","Flu",
"Country Club/Throgs Neck",10465,35,"10465","6 months - 4 years",1,783,2212.47,"2023 - 24","Q4","Flu",
"Edenwald/Wakefield",10466,36,"10466","6 months - 4 years",1,1308,3621.47,"2023 - 24","Q4","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,42,"10467","6 months - 4 years",1,2336,5575.03,"2023 - 24","Q4","Flu",
"Fordham/Kingsbridge/University Heights",10468,36,"10468","6 months - 4 years",1,1761,4827.82,"2023 - 24","Q4","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,38,"10469","6 months - 4 years",1,1249,3284.5,"2023 - 24","Q4","Flu",
"Wakefield/Woodlawn",10470,57,"10470","6 months - 4 years",1,439,769.5,"2023 - 24","Q4","Flu",
"Fieldston/North Riverdale/Riverdale",10471,49,"10471","6 months - 4 years",1,545,1113.74,"2023 - 24","Q4","Flu",
"Soundview",10472,55,"10472","6 months - 4 years",1,2002,3613.06,"2023 - 24","Q4","Flu",
"Castle Hill/Clason Point/Soundview",10473,37,"10473","6 months - 4 years",1,1003,2733.79,"2023 - 24","Q4","Flu",
"Hunts Point",10474,42,"10474","6 months - 4 years",1,295,701.62,"2023 - 24","Q4","Flu",
"Co-op City/Edenwald",10475,35,"10475","6 months - 4 years",1,464,1336.53,"2023 - 24","Q4","Flu",
"Bellerose/Douglaston-Little Neck",11004,98,"11004, 11005","6 months - 4 years",1,661,675.58,"2023 - 24","Q4","Flu",
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","6 months - 4 years",1,1906,1643.58,"2023 - 24","Q4","Flu",
"Astoria (North)",11102,62,"11102","6 months - 4 years",1,658,1063.39,"2023 - 24","Q4","Flu",
"Astoria (North)/Astoria (South)",11103,48,"11103","6 months - 4 years",1,596,1252.19,"2023 - 24","Q4","Flu",
"Sunnyside",11104,52,"11104","6 months - 4 years",1,568,1090.69,"2023 - 24","Q4","Flu",
"Ditmars Steinway",11105,55,"11105","6 months - 4 years",1,756,1370.97,"2023 - 24","Q4","Flu",
"Astoria (South)",11106,48,"11106","6 months - 4 years",1,707,1485.25,"2023 - 24","Q4","Flu",
"Long Island City",11109,99,"11109","6 months - 4 years",1,365,256.55,"2023 - 24","Q4","Flu",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,78,"11201","6 months - 4 years",1,2526,3224.06,"2023 - 24","Q4","Flu",
"East Flatbush (North)/East Flatbush (South)",11203,41,"11203","6 months - 4 years",1,1176,2868.38,"2023 - 24","Q4","Flu",
"Bensonhurst/Mapleton",11204,47,"11204","6 months - 4 years",1,2420,5182.65,"2023 - 24","Q4","Flu",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,26,"11205","6 months - 4 years",1,1128,4418.16,"2023 - 24","Q4","Flu",
"Williamsburg (South)",11206,22,"11206","6 months - 4 years",1,1431,6434.95,"2023 - 24","Q4","Flu",
"Cypress Hills/East New York",11207,38,"11207","6 months - 4 years",1,1881,4916.19,"2023 - 24","Q4","Flu",
"Cypress Hills/East New York",11208,41,"11208","6 months - 4 years",1,2330,5682.37,"2023 - 24","Q4","Flu",
"Bay Ridge/Fort Hamilton",11209,44,"11209","6 months - 4 years",1,1452,3294.91,"2023 - 24","Q4","Flu",
"Flatlands/Midwood",11210,43,"11210","6 months - 4 years",1,1359,3140.52,"2023 - 24","Q4","Flu",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,29,"11211, 11249","6 months - 4 years",1,2476,8417.51,"2023 - 24","Q4","Flu",
"Ocean Hill-Brownsville",11212,37,"11212","6 months - 4 years",1,1663,4507.6,"2023 - 24","Q4","Flu",
"Crown Heights (East)",11213,29,"11213","6 months - 4 years",1,1177,4099.3,"2023 - 24","Q4","Flu",
"Bath Beach/Bensonhurst/Gravesend",11214,54,"11214","6 months - 4 years",1,2262,4186.69,"2023 - 24","Q4","Flu",
"Gowanus/Park Slope/Windsor Terrace",11215,68,"11215","6 months - 4 years",1,2577,3802.12,"2023 - 24","Q4","Flu",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,40,"11216","6 months - 4 years",1,913,2271.54,"2023 - 24","Q4","Flu",
"Boerum Hill/Park Slope",11217,66,"11217, 11243","6 months - 4 years",1,1280,1926.75,"2023 - 24","Q4","Flu",
