"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",184,114.8,2021,"Q4","HepB",""
"Chinatown/Lower East Side",10002,99,"10002","24 - 35 months",542,543.19,2021,"Q4","HepB",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",265,238.46,2021,"Q4","HepB",""
"Financial District",10004,99,"10004","24 - 35 months",41,40.79,2021,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",86,52.94,2021,"Q4","HepB",""
"Financial District",10006,99,"10006","24 - 35 months",35,22.41,2021,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,95,"10007","24 - 35 months",109,114.42,2021,"Q4","HepB",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",363,334.12,2021,"Q4","HepB",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",236,190.48,2021,"Q4","HepB",""
"Chelsea",10011,93,"10011","24 - 35 months",290,311.47,2021,"Q4","HepB",""
"Greenwich Village/SoHo",10012,99,"10012","24 - 35 months",128,126.37,2021,"Q4","HepB",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",280,276.97,2021,"Q4","HepB",""
"Hudson Square/Meatpacking District/West Village",10014,97,"10014","24 - 35 months",157,161.23,2021,"Q4","HepB",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",411,335.43,2021,"Q4","HepB",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",120,84.4,2021,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",81,45.06,2021,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",369,263.88,2021,"Q4","HepB",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",394,348.79,2021,"Q4","HepB",""
"East Midtown",10022,99,"10022","24 - 35 months",244,220.45,2021,"Q4","HepB",""
"Lincoln Square",10023,99,"10023","24 - 35 months",643,634.32,2021,"Q4","HepB",""
"Upper West Side",10024,92,"10024","24 - 35 months",551,596.44,2021,"Q4","HepB",""
