"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","24 - 35 months","DTaP",4,"Citywide",72
2026,"Q2","24 - 35 months","DTaP",4,"Bronx",74
2026,"Q2","24 - 35 months","DTaP",4,"Brooklyn",64
2026,"Q2","24 - 35 months","DTaP",4,"Manhattan",82
2026,"Q2","24 - 35 months","DTaP",4,"Queens",79
2026,"Q2","24 - 35 months","DTaP",4,"Staten Island",62
