"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","Citywide","Asian, non-Hispanic","Black, non-Hispanic","Hispanic/Latino","White, non-Hispanic"
2022,"Q4","9 - 10 years","HPV",1,10,10,10,16,1
2023,"Q4","9 - 10 years","HPV",1,10,9,11,17,2
2024,"Q4","9 - 10 years","HPV",1,12,11,12,19,2
2025,"Q4","9 - 10 years","HPV",1,14,15,14,21,3
2026,"Q2","9 - 10 years","HPV",1,15,17,15,23,4
