"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","Citywide","Asian, non-Hispanic","Black, non-Hispanic","Hispanic/Latino","White, non-Hispanic"
2022,"Q4","11 - 12 years","HPV",1,51,65,52,67,17
2023,"Q4","11 - 12 years","HPV",1,53,69,54,70,18
2024,"Q4","11 - 12 years","HPV",1,53,69,54,71,19
2025,"Q4","11 - 12 years","HPV",1,52,66,53,67,19
2026,"Q2","11 - 12 years","HPV",1,50,65,50,65,20
