"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","24 - 35 months","HepB",3,"Citywide",89
2026,"Q2","24 - 35 months","HepB",3,"Bronx",91
2026,"Q2","24 - 35 months","HepB",3,"Brooklyn",83
2026,"Q2","24 - 35 months","HepB",3,"Manhattan",98
2026,"Q2","24 - 35 months","HepB",3,"Queens",95
2026,"Q2","24 - 35 months","HepB",3,"Staten Island",78
