"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Citywide",40
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Bronx",37
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Brooklyn",36
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Manhattan",49
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Queens",44
"2025 - 26","Q2","6 months - 17 years","Flu",1,"Staten Island",29
