"YEAR_COVERAGE","QUARTER","VACCINE_GROUP","AGE_GROUP","BOROUGH","PERC_VAC"
2021,"Q2",4313314,"24 - 35 months","Citywide",NA
2021,"Q2",4313314,"24 - 35 months","Bronx",69
2021,"Q2",4313314,"24 - 35 months","Brooklyn",52
2021,"Q2",4313314,"24 - 35 months","Manhattan",72
2021,"Q2",4313314,"24 - 35 months","Queens",NA
2021,"Q2",4313314,"24 - 35 months","Staten Island",43
