"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Bloomfield/Freshkills Park",10314,18,"10314","13 - 17 years",1053,5695.94,"2021 - 22","Q4","Flu",
"Concourse/Melrose",10451,33,"10451","13 - 17 years",1089,3293.86,"2021 - 22","Q4","Flu",
"Concourse/Highbridge",10452,32,"10452","13 - 17 years",1720,5346.62,"2021 - 22","Q4","Flu",
"Morris Heights/Mount Hope/University Heights",10453,29,"10453","13 - 17 years",1639,5645.99,"2021 - 22","Q4","Flu",
"Mott Haven/Port Morris",10454,31,"10454","13 - 17 years",908,2942.54,"2021 - 22","Q4","Flu",
"Mott Haven",10455,31,"10455","13 - 17 years",964,3110.89,"2021 - 22","Q4","Flu",
"Claremont/Morrisania",10456,30,"10456","13 - 17 years",1947,6443.45,"2021 - 22","Q4","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,30,"10457","13 - 17 years",1697,5710.69,"2021 - 22","Q4","Flu",
"Belmont/Fordham University/Kingsbridge",10458,28,"10458","13 - 17 years",1511,5491.83,"2021 - 22","Q4","Flu",
"Charlotte Gardens/Hunts Point",10459,25,"10459","13 - 17 years",904,3651.99,"2021 - 22","Q4","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,26,"10460","13 - 17 years",1093,4284.33,"2021 - 22","Q4","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,26,"10461","13 - 17 years",717,2722.14,"2021 - 22","Q4","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,32,"10462","13 - 17 years",1331,4191.15,"2021 - 22","Q4","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,29,"10463","13 - 17 years",1009,3451.18,"2021 - 22","Q4","Flu",
"City Island",10464,99,"10464","13 - 17 years",276,247.77,"2021 - 22","Q4","Flu",
"Country Club/Throgs Neck",10465,18,"10465","13 - 17 years",509,2799.76,"2021 - 22","Q4","Flu",
"Edenwald/Wakefield",10466,20,"10466","13 - 17 years",964,4806.67,"2021 - 22","Q4","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,31,"10467","13 - 17 years",1828,5887.71,"2021 - 22","Q4","Flu",
"Fordham/Kingsbridge/University Heights",10468,29,"10468","13 - 17 years",1511,5259.34,"2021 - 22","Q4","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,19,"10469","13 - 17 years",885,4575.05,"2021 - 22","Q4","Flu",
"Wakefield/Woodlawn",10470,25,"10470","13 - 17 years",202,812.62,"2021 - 22","Q4","Flu",
"Fieldston/North Riverdale/Riverdale",10471,40,"10471","13 - 17 years",355,894.87,"2021 - 22","Q4","Flu",
"Soundview",10472,33,"10472","13 - 17 years",1351,4139.53,"2021 - 22","Q4","Flu",
"Castle Hill/Clason Point/Soundview",10473,21,"10473","13 - 17 years",888,4197.26,"2021 - 22","Q4","Flu",
"Hunts Point",10474,29,"10474","13 - 17 years",236,801.71,"2021 - 22","Q4","Flu",
"Co-op City/Edenwald",10475,21,"10475","13 - 17 years",430,2044.7,"2021 - 22","Q4","Flu",
"Bellerose/Douglaston-Little Neck",11004,74,"11004, 11005","13 - 17 years",816,1098.09,"2021 - 22","Q4","Flu",
"Astoria (South)/Long Island City/Sunnyside",11101,29,"11101","13 - 17 years",381,1299.53,"2021 - 22","Q4","Flu",
"Astoria (North)",11102,39,"11102","13 - 17 years",453,1168.26,"2021 - 22","Q4","Flu",
"Astoria (North)/Astoria (South)",11103,28,"11103","13 - 17 years",370,1332.44,"2021 - 22","Q4","Flu",
"Sunnyside",11104,43,"11104","13 - 17 years",399,927.95,"2021 - 22","Q4","Flu",
"Ditmars Steinway",11105,26,"11105","13 - 17 years",345,1349.88,"2021 - 22","Q4","Flu",
"Astoria (South)",11106,35,"11106","13 - 17 years",506,1457.93,"2021 - 22","Q4","Flu",
"Long Island City",11109,66,"11109","13 - 17 years",36,54.54,"2021 - 22","Q4","Flu",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,52,"11201","13 - 17 years",908,1735.51,"2021 - 22","Q4","Flu",
"East Flatbush (North)/East Flatbush (South)",11203,20,"11203","13 - 17 years",711,3630.84,"2021 - 22","Q4","Flu",
"Bensonhurst/Mapleton",11204,26,"11204","13 - 17 years",1445,5457.5,"2021 - 22","Q4","Flu",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,18,"11205","13 - 17 years",410,2280.86,"2021 - 22","Q4","Flu",
"Williamsburg (South)",11206,14,"11206","13 - 17 years",854,5986.2,"2021 - 22","Q4","Flu",
"Cypress Hills/East New York",11207,22,"11207","13 - 17 years",1370,6354.2,"2021 - 22","Q4","Flu",
"Cypress Hills/East New York",11208,23,"11208","13 - 17 years",1746,7533.23,"2021 - 22","Q4","Flu",
"Bay Ridge/Fort Hamilton",11209,26,"11209","13 - 17 years",867,3373.33,"2021 - 22","Q4","Flu",
"Flatlands/Midwood",11210,20,"11210","13 - 17 years",858,4188.57,"2021 - 22","Q4","Flu",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,8,"11211, 11249","13 - 17 years",550,6699.23,"2021 - 22","Q4","Flu",
"Ocean Hill-Brownsville",11212,19,"11212","13 - 17 years",1048,5636.3,"2021 - 22","Q4","Flu",
"Crown Heights (East)",11213,11,"11213","13 - 17 years",497,4378.35,"2021 - 22","Q4","Flu",
"Bath Beach/Bensonhurst/Gravesend",11214,41,"11214","13 - 17 years",1934,4678.29,"2021 - 22","Q4","Flu",
"Gowanus/Park Slope/Windsor Terrace",11215,51,"11215","13 - 17 years",1267,2484.26,"2021 - 22","Q4","Flu",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,17,"11216","13 - 17 years",382,2290.46,"2021 - 22","Q4","Flu",
"Boerum Hill/Park Slope",11217,39,"11217, 11243","13 - 17 years",483,1254.2,"2021 - 22","Q4","Flu",
"Kensington/Windsor Terrace",11218,31,"11218","13 - 17 years",1443,4716.45,"2021 - 22","Q4","Flu",
"Borough Park",11219,26,"11219","13 - 17 years",1855,7038.89,"2021 - 22","Q4","Flu",
"Sunset Park",11220,76,"11220","13 - 17 years",3714,4905.37,"2021 - 22","Q4","Flu",
"Bedford-Stuyvesant (East)/Bushwick",11221,17,"11221","13 - 17 years",811,4862.2,"2021 - 22","Q4","Flu",
"Greenpoint",11222,16,"11222","13 - 17 years",205,1269.06,"2021 - 22","Q4","Flu",
"Gravesend/Homecrest",11223,30,"11223","13 - 17 years",1416,4691.11,"2021 - 22","Q4","Flu",
"Brighton Beach/Coney Island/Seagate",11224,17,"11224","13 - 17 years",461,2675.37,"2021 - 22","Q4","Flu",
