"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,66,"10001, 10118","6 months - 17 years",258,599.37,"2022 - 23","Q4","Flu",
"Chinatown/Lower East Side",10002,49,"10002","6 months - 17 years",1512,2971.76,"2022 - 23","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,63,"10003","6 months - 17 years",416,925.08,"2022 - 23","Q4","Flu",
"Financial District",10004,99,"10004","6 months - 17 years",75,85.49,"2022 - 23","Q4","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",68,80.87,"2022 - 23","Q4","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",37,55.05,"2022 - 23","Q4","Flu",
"TriBeCa",10007,93,"10007","6 months - 17 years",191,196.24,"2022 - 23","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,38,"10009","6 months - 17 years",526,1903.08,"2022 - 23","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,80,"10010","6 months - 17 years",345,584.81,"2022 - 23","Q4","Flu",
"Chelsea",10011,59,"10011","6 months - 17 years",503,1101.12,"2022 - 23","Q4","Flu",
"Greenwich Village/SoHo",10012,56,"10012","6 months - 17 years",204,502.44,"2022 - 23","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,74,"10013","6 months - 17 years",593,911.68,"2022 - 23","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,59,"10014","6 months - 17 years",272,624.66,"2022 - 23","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,69,"10016","6 months - 17 years",456,802.21,"2022 - 23","Q4","Flu",
"East Midtown/Murray Hill",10017,77,"10017","6 months - 17 years",118,211.46,"2022 - 23","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,62,"10018","6 months - 17 years",54,111.89,"2022 - 23","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,73,"10019, 10020","6 months - 17 years",355,740.37,"2022 - 23","Q4","Flu",
