"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,61,"10001, 10118","6 months - 17 years",1225,2005.32,"2021 - 22","Q4","Flu",
"Chinatown/Lower East Side",10002,56,"10002","6 months - 17 years",5991,10703.12,"2021 - 22","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,63,"10003","6 months - 17 years",2110,3366.01,"2021 - 22","Q4","Flu",
"Financial District",10004,99,"10004","6 months - 17 years",413,405.95,"2021 - 22","Q4","Flu",
"Financial District",10005,97,"10005","6 months - 17 years",504,517.14,"2021 - 22","Q4","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",275,214.13,"2021 - 22","Q4","Flu",
"TriBeCa",10007,95,"10007","6 months - 17 years",1146,1201.25,"2021 - 22","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,40,"10009","6 months - 17 years",2495,6285.22,"2021 - 22","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,83,"10010","6 months - 17 years",2051,2470.44,"2021 - 22","Q4","Flu",
"Chelsea",10011,63,"10011","6 months - 17 years",2757,4370.51,"2021 - 22","Q4","Flu",
"Greenwich Village/SoHo",10012,55,"10012","6 months - 17 years",1030,1887.5,"2021 - 22","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,74,"10013","6 months - 17 years",2921,3973.03,"2021 - 22","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,59,"10014","6 months - 17 years",1432,2432.34,"2021 - 22","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,72,"10016","6 months - 17 years",2698,3765.67,"2021 - 22","Q4","Flu",
"East Midtown/Murray Hill",10017,88,"10017","6 months - 17 years",861,975.54,"2021 - 22","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,71,"10018","6 months - 17 years",330,466.09,"2021 - 22","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,67,"10019, 10020","6 months - 17 years",1984,2977.76,"2021 - 22","Q4","Flu",
"Lenox Hill/Upper East Side",10021,75,"10021","6 months - 17 years",3747,4977.74,"2021 - 22","Q4","Flu",
"East Midtown",10022,79,"10022","6 months - 17 years",2156,2734.34,"2021 - 22","Q4","Flu",
"Lincoln Square",10023,67,"10023","6 months - 17 years",5310,7965.31,"2021 - 22","Q4","Flu",
"Upper West Side",10024,60,"10024","6 months - 17 years",5749,9546.34,"2021 - 22","Q4","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,47,"10025","6 months - 17 years",6121,12895.56,"2021 - 22","Q4","Flu",
"Central Harlem (South)",10026,37,"10026","6 months - 17 years",2464,6585.01,"2021 - 22","Q4","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,33,"10027","6 months - 17 years",3361,10116.09,"2021 - 22","Q4","Flu",
"Upper East Side/Yorkville",10028,56,"10028","6 months - 17 years",3762,6684.01,"2021 - 22","Q4","Flu",
"East Harlem",10029,40,"10029","6 months - 17 years",5525,13788.54,"2021 - 22","Q4","Flu",
"Central Harlem (North)",10030,26,"10030","6 months - 17 years",1572,6115.3,"2021 - 22","Q4","Flu",
"Hamilton Heights/West Harlem",10031,33,"10031","6 months - 17 years",3066,9305.81,"2021 - 22","Q4","Flu",
