"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,43,"10001, 10118","13 - 17 years",258,602.86,"2020 - 21","Q4","Flu",
"Chinatown/Lower East Side",10002,73,"10002","13 - 17 years",2169,2985.19,"2020 - 21","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,45,"10003","13 - 17 years",420,928.37,"2020 - 21","Q4","Flu",
"Financial District",10004,77,"10004","13 - 17 years",66,86.27,"2020 - 21","Q4","Flu",
"Financial District",10005,83,"10005","13 - 17 years",67,80.27,"2020 - 21","Q4","Flu",
"Financial District",10006,76,"10006","13 - 17 years",42,55.17,"2020 - 21","Q4","Flu",
"TriBeCa",10007,94,"10007","13 - 17 years",185,197.57,"2020 - 21","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,33,"10009","13 - 17 years",628,1914.01,"2020 - 21","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,67,"10010","13 - 17 years",394,587.43,"2020 - 21","Q4","Flu",
"Chelsea",10011,48,"10011","13 - 17 years",531,1109.02,"2020 - 21","Q4","Flu",
"Greenwich Village/SoHo",10012,47,"10012","13 - 17 years",237,502.98,"2020 - 21","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,82,"10013","13 - 17 years",751,910.43,"2020 - 21","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,42,"10014","13 - 17 years",263,628.6,"2020 - 21","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,64,"10016","13 - 17 years",513,801.16,"2020 - 21","Q4","Flu",
"East Midtown/Murray Hill",10017,65,"10017","13 - 17 years",136,209.65,"2020 - 21","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,50,"10018","13 - 17 years",56,111.7,"2020 - 21","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,49,"10019, 10020","13 - 17 years",364,739.64,"2020 - 21","Q4","Flu",
"Lenox Hill/Upper East Side",10021,62,"10021","13 - 17 years",727,1172.16,"2020 - 21","Q4","Flu",
"East Midtown",10022,69,"10022","13 - 17 years",426,615.75,"2020 - 21","Q4","Flu",
"Lincoln Square",10023,53,"10023","13 - 17 years",1007,1917.69,"2020 - 21","Q4","Flu",
"Upper West Side",10024,47,"10024","13 - 17 years",1230,2624.11,"2020 - 21","Q4","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,39,"10025","13 - 17 years",1498,3792.85,"2020 - 21","Q4","Flu",
"Central Harlem (South)",10026,36,"10026","13 - 17 years",618,1705.36,"2020 - 21","Q4","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,34,"10027","13 - 17 years",939,2793.25,"2020 - 21","Q4","Flu",
"Upper East Side/Yorkville",10028,51,"10028","13 - 17 years",962,1893.88,"2020 - 21","Q4","Flu",
"East Harlem",10029,42,"10029","13 - 17 years",1660,3978.83,"2020 - 21","Q4","Flu",
"Central Harlem (North)",10030,25,"10030","13 - 17 years",428,1699.7,"2020 - 21","Q4","Flu",
"Hamilton Heights/West Harlem",10031,33,"10031","13 - 17 years",875,2682.5,"2020 - 21","Q4","Flu",
"Washington Heights (South)",10032,35,"10032","13 - 17 years",922,2618.59,"2020 - 21","Q4","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,33,"10033","13 - 17 years",867,2604.15,"2020 - 21","Q4","Flu",
"Inwood/Washington Heights (North)",10034,32,"10034","13 - 17 years",612,1919.91,"2020 - 21","Q4","Flu",
"East Harlem",10035,33,"10035","13 - 17 years",671,2015.71,"2020 - 21","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,41,"10036","13 - 17 years",214,527.74,"2020 - 21","Q4","Flu",
"Central Harlem (North)/East Harlem",10037,82,"10037","13 - 17 years",680,830.05,"2020 - 21","Q4","Flu",
"Chinatown/Financial District",10038,63,"10038","13 - 17 years",410,649.53,"2020 - 21","Q4","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,27,"10039","13 - 17 years",494,1798.63,"2020 - 21","Q4","Flu",
"Washington Heights (North)",10040,32,"10040","13 - 17 years",641,1998.57,"2020 - 21","Q4","Flu",
"Roosevelt Island",10044,32,"10044","13 - 17 years",172,542.09,"2020 - 21","Q4","Flu",
"Lenox Hill/Upper East Side",10065,63,"10065","13 - 17 years",479,764.93,"2020 - 21","Q4","Flu",
"Lincoln Square",10069,99,"10069","13 - 17 years",180,168.9,"2020 - 21","Q4","Flu",
"Lenox Hill/Upper East Side",10075,73,"10075, 10162","13 - 17 years",610,833.24,"2020 - 21","Q4","Flu",
"Upper East Side/Yorkville",10128,47,"10128","13 - 17 years",1116,2397.49,"2020 - 21","Q4","Flu",
"Battery Park City",10280,54,"10280","13 - 17 years",146,269.5,"2020 - 21","Q4","Flu",
"Battery Park City",10282,77,"10282","13 - 17 years",160,207.7,"2020 - 21","Q4","Flu",
"Silver Lake/St. George",10301,33,"10301","13 - 17 years",772,2318.68,"2020 - 21","Q4","Flu",
"Elm Park",10302,40,"10302","13 - 17 years",542,1370.49,"2020 - 21","Q4","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,26,"10303","13 - 17 years",580,2227.18,"2020 - 21","Q4","Flu",
"New Dorp/Todt Hill",10304,31,"10304","13 - 17 years",903,2917.59,"2020 - 21","Q4","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,29,"10305","13 - 17 years",704,2439.2,"2020 - 21","Q4","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,24,"10306","13 - 17 years",826,3440.48,"2020 - 21","Q4","Flu",
"Tottenville",10307,18,"10307","13 - 17 years",202,1111.55,"2020 - 21","Q4","Flu",
"Great Kills",10308,21,"10308","13 - 17 years",398,1885.81,"2020 - 21","Q4","Flu",
"Charleston/Prince's Bay/Woodrow",10309,22,"10309","13 - 17 years",486,2226.13,"2020 - 21","Q4","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,31,"10310","13 - 17 years",602,1959.68,"2020 - 21","Q4","Flu",
"Annadale/Rossville",10312,22,"10312","13 - 17 years",866,4001.05,"2020 - 21","Q4","Flu",
"Bloomfield/Freshkills Park",10314,25,"10314","13 - 17 years",1440,5674.47,"2020 - 21","Q4","Flu",
"Concourse/Melrose",10451,37,"10451","13 - 17 years",1241,3376.51,"2020 - 21","Q4","Flu",
"Concourse/Highbridge",10452,40,"10452","13 - 17 years",2189,5467.6,"2020 - 21","Q4","Flu",
"Morris Heights/Mount Hope/University Heights",10453,36,"10453","13 - 17 years",2093,5769.73,"2020 - 21","Q4","Flu",
"Mott Haven/Port Morris",10454,38,"10454","13 - 17 years",1133,3012.37,"2020 - 21","Q4","Flu",
"Mott Haven",10455,35,"10455","13 - 17 years",1119,3178.36,"2020 - 21","Q4","Flu",
"Claremont/Morrisania",10456,34,"10456","13 - 17 years",2259,6606.77,"2020 - 21","Q4","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,34,"10457","13 - 17 years",2009,5846.03,"2020 - 21","Q4","Flu",
"Belmont/Fordham University/Kingsbridge",10458,36,"10458","13 - 17 years",2029,5602.79,"2020 - 21","Q4","Flu",
"Charlotte Gardens/Hunts Point",10459,28,"10459","13 - 17 years",1058,3739.67,"2020 - 21","Q4","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,28,"10460","13 - 17 years",1231,4382.74,"2020 - 21","Q4","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,30,"10461","13 - 17 years",841,2775.81,"2020 - 21","Q4","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,37,"10462","13 - 17 years",1585,4288.18,"2020 - 21","Q4","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,38,"10463","13 - 17 years",1329,3518.53,"2020 - 21","Q4","Flu",
"City Island",10464,88,"10464","13 - 17 years",221,252.05,"2020 - 21","Q4","Flu",
"Country Club/Throgs Neck",10465,20,"10465","13 - 17 years",572,2854.3,"2020 - 21","Q4","Flu",
"Edenwald/Wakefield",10466,22,"10466","13 - 17 years",1094,4963.14,"2020 - 21","Q4","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,34,"10467","13 - 17 years",2074,6029.72,"2020 - 21","Q4","Flu",
"Fordham/Kingsbridge/University Heights",10468,34,"10468","13 - 17 years",1815,5361.9,"2020 - 21","Q4","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,22,"10469","13 - 17 years",1055,4717.39,"2020 - 21","Q4","Flu",
"Wakefield/Woodlawn",10470,24,"10470","13 - 17 years",200,834.84,"2020 - 21","Q4","Flu",
"Fieldston/North Riverdale/Riverdale",10471,47,"10471","13 - 17 years",427,910.49,"2020 - 21","Q4","Flu",
"Soundview",10472,38,"10472","13 - 17 years",1599,4238.66,"2020 - 21","Q4","Flu",
"Castle Hill/Clason Point/Soundview",10473,23,"10473","13 - 17 years",1005,4299,"2020 - 21","Q4","Flu",
"Hunts Point",10474,35,"10474","13 - 17 years",284,820.5,"2020 - 21","Q4","Flu",
"Co-op City/Edenwald",10475,24,"10475","13 - 17 years",514,2110.66,"2020 - 21","Q4","Flu",
"Bellerose/Douglaston-Little Neck",11004,84,"11004, 11005","13 - 17 years",939,1120.98,"2020 - 21","Q4","Flu",
"Astoria (South)/Long Island City/Sunnyside",11101,42,"11101","13 - 17 years",557,1326.45,"2020 - 21","Q4","Flu",
"Astoria (North)",11102,48,"11102","13 - 17 years",574,1194.01,"2020 - 21","Q4","Flu",
"Astoria (North)/Astoria (South)",11103,38,"11103","13 - 17 years",521,1357.48,"2020 - 21","Q4","Flu",
"Sunnyside",11104,52,"11104","13 - 17 years",492,944.45,"2020 - 21","Q4","Flu",
"Ditmars Steinway",11105,35,"11105","13 - 17 years",476,1376.94,"2020 - 21","Q4","Flu",
"Astoria (South)",11106,48,"11106","13 - 17 years",708,1488.28,"2020 - 21","Q4","Flu",
"Long Island City",11109,62,"11109","13 - 17 years",34,55.15,"2020 - 21","Q4","Flu",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,57,"11201","13 - 17 years",995,1757.47,"2020 - 21","Q4","Flu",
"East Flatbush (North)/East Flatbush (South)",11203,24,"11203","13 - 17 years",888,3755.17,"2020 - 21","Q4","Flu",
"Bensonhurst/Mapleton",11204,33,"11204","13 - 17 years",1826,5504.97,"2020 - 21","Q4","Flu",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,23,"11205","13 - 17 years",539,2318.25,"2020 - 21","Q4","Flu",
"Williamsburg (South)",11206,17,"11206","13 - 17 years",1054,6086.18,"2020 - 21","Q4","Flu",
"Cypress Hills/East New York",11207,24,"11207","13 - 17 years",1564,6536.24,"2020 - 21","Q4","Flu",
"Cypress Hills/East New York",11208,27,"11208","13 - 17 years",2088,7723.2,"2020 - 21","Q4","Flu",
"Bay Ridge/Fort Hamilton",11209,34,"11209","13 - 17 years",1155,3403.58,"2020 - 21","Q4","Flu",
"Flatlands/Midwood",11210,29,"11210","13 - 17 years",1218,4272.95,"2020 - 21","Q4","Flu",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,11,"11211, 11249","13 - 17 years",749,6764.71,"2020 - 21","Q4","Flu",
"Ocean Hill-Brownsville",11212,23,"11212","13 - 17 years",1365,5808.65,"2020 - 21","Q4","Flu",
"Crown Heights (East)",11213,17,"11213","13 - 17 years",760,4482.46,"2020 - 21","Q4","Flu",
"Bath Beach/Bensonhurst/Gravesend",11214,46,"11214","13 - 17 years",2185,4719.64,"2020 - 21","Q4","Flu",
"Gowanus/Park Slope/Windsor Terrace",11215,60,"11215","13 - 17 years",1497,2501.88,"2020 - 21","Q4","Flu",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,20,"11216","13 - 17 years",476,2348.43,"2020 - 21","Q4","Flu",
"Boerum Hill/Park Slope",11217,46,"11217, 11243","13 - 17 years",584,1274.19,"2020 - 21","Q4","Flu",
"Kensington/Windsor Terrace",11218,41,"11218","13 - 17 years",1931,4757.71,"2020 - 21","Q4","Flu",
"Borough Park",11219,34,"11219","13 - 17 years",2427,7101.35,"2020 - 21","Q4","Flu",
"Sunset Park",11220,88,"11220","13 - 17 years",4379,4968.89,"2020 - 21","Q4","Flu",
"Bedford-Stuyvesant (East)/Bushwick",11221,23,"11221","13 - 17 years",1139,4975.95,"2020 - 21","Q4","Flu",
"Greenpoint",11222,19,"11222","13 - 17 years",241,1279.18,"2020 - 21","Q4","Flu",
"Gravesend/Homecrest",11223,39,"11223","13 - 17 years",1856,4738.5,"2020 - 21","Q4","Flu",
"Brighton Beach/Coney Island/Seagate",11224,24,"11224","13 - 17 years",647,2723.23,"2020 - 21","Q4","Flu",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,22,"11225","13 - 17 years",636,2921.25,"2020 - 21","Q4","Flu",
"Flatbush/Prospect Lefferts Gardens",11226,33,"11226","13 - 17 years",1672,5048.15,"2020 - 21","Q4","Flu",
"Bath Beach/Dyker Heights",11228,41,"11228","13 - 17 years",1026,2508.43,"2020 - 21","Q4","Flu",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,31,"11229","13 - 17 years",1470,4758.98,"2020 - 21","Q4","Flu",
"Midwood",11230,30,"11230","13 - 17 years",1909,6337.13,"2020 - 21","Q4","Flu",
"Carroll Gardens/Cobble Hill/Red Hook",11231,52,"11231","13 - 17 years",735,1401.08,"2020 - 21","Q4","Flu",
"Sunset Park",11232,66,"11232","13 - 17 years",885,1347.03,"2020 - 21","Q4","Flu",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,17,"11233","13 - 17 years",823,4905.54,"2020 - 21","Q4","Flu",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,26,"11234","13 - 17 years",1382,5316.38,"2020 - 21","Q4","Flu",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,34,"11235","13 - 17 years",1256,3656.65,"2020 - 21","Q4","Flu",
"Canarsie",11236,21,"11236","13 - 17 years",1227,5959.65,"2020 - 21","Q4","Flu",
"Bushwick/East Williamsburg",11237,46,"11237","13 - 17 years",1102,2404.79,"2020 - 21","Q4","Flu",
"Clinton Hill/Prospect Heights",11238,49,"11238","13 - 17 years",703,1436.48,"2020 - 21","Q4","Flu",
"East New York",11239,20,"11239","13 - 17 years",174,874.84,"2020 - 21","Q4","Flu",
"Flushing/Murray Hill",11354,68,"11354","13 - 17 years",1334,1947.71,"2020 - 21","Q4","Flu",
"Flushing/Murray Hill/Queensboro Hill",11355,93,"11355","13 - 17 years",2820,3038.25,"2020 - 21","Q4","Flu",
"College Point",11356,42,"11356","13 - 17 years",647,1533.76,"2020 - 21","Q4","Flu",
"Whitestone",11357,36,"11357","13 - 17 years",751,2084.22,"2020 - 21","Q4","Flu",
"Auburndale/Murray Hill",11358,47,"11358","13 - 17 years",873,1842.65,"2020 - 21","Q4","Flu",
"Bayside (North)",11360,45,"11360","13 - 17 years",356,795.42,"2020 - 21","Q4","Flu",
"Bayside (North)/Bayside (South)",11361,41,"11361","13 - 17 years",655,1581.99,"2020 - 21","Q4","Flu",
"Douglaston-Little Neck",11362,43,"11362","13 - 17 years",395,918.15,"2020 - 21","Q4","Flu",
"Douglaston-Little Neck",11363,38,"11363","13 - 17 years",159,413.61,"2020 - 21","Q4","Flu",
"Bayside (South)/Oakland Gardens",11364,43,"11364","13 - 17 years",913,2099.21,"2020 - 21","Q4","Flu",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,42,"11365","13 - 17 years",1061,2506.13,"2020 - 21","Q4","Flu",
"Fresh Meadows/Hillcrest",11366,42,"11366","13 - 17 years",307,730.78,"2020 - 21","Q4","Flu",
"Kew Gardens Hills/Pomonok",11367,39,"11367","13 - 17 years",837,2141.16,"2020 - 21","Q4","Flu",
"Corona/North Corona",11368,63,"11368","13 - 17 years",3929,6253.21,"2020 - 21","Q4","Flu",
"Airport/East Elmhurst",11369,55,"11369","13 - 17 years",1040,1874.52,"2020 - 21","Q4","Flu",
"Jackson Heights/Rikers Island",11370,54,"11370","13 - 17 years",717,1328.41,"2020 - 21","Q4","Flu",
"Jackson Heights",11372,71,"11372","13 - 17 years",1957,2744.71,"2020 - 21","Q4","Flu",
"Elmhurst",11373,73,"11373","13 - 17 years",3360,4578.31,"2020 - 21","Q4","Flu",
"Rego Park",11374,39,"11374","13 - 17 years",668,1728.41,"2020 - 21","Q4","Flu",
"Forest Hills",11375,44,"11375","13 - 17 years",1119,2536.88,"2020 - 21","Q4","Flu",
"Woodside",11377,62,"11377","13 - 17 years",2392,3883.35,"2020 - 21","Q4","Flu",
"Maspeth",11378,32,"11378","13 - 17 years",700,2168.82,"2020 - 21","Q4","Flu",
"Middle Village",11379,30,"11379","13 - 17 years",575,1897.69,"2020 - 21","Q4","Flu",
"Glendale/Ridgewood",11385,24,"11385","13 - 17 years",1599,6629.36,"2020 - 21","Q4","Flu",
"Cambria Heights",11411,24,"11411","13 - 17 years",255,1058.94,"2020 - 21","Q4","Flu",
"St. Albans",11412,23,"11412","13 - 17 years",542,2349.34,"2020 - 21","Q4","Flu",
"Laurelton/Rosedale",11413,18,"11413","13 - 17 years",466,2609.91,"2020 - 21","Q4","Flu",
"Hamilton Beach/Howard Beach/Lindenwood",11414,24,"11414","13 - 17 years",372,1563.49,"2020 - 21","Q4","Flu",
"Kew Gardens",11415,31,"11415","13 - 17 years",267,874.07,"2020 - 21","Q4","Flu",
"Ozone Park",11416,40,"11416","13 - 17 years",788,1954.55,"2020 - 21","Q4","Flu",
"Ozone Park",11417,36,"11417","13 - 17 years",753,2101.5,"2020 - 21","Q4","Flu",
"Richmond Hill",11418,43,"11418","13 - 17 years",948,2222.26,"2020 - 21","Q4","Flu",
"Richmond Hill/South Ozone Park",11419,38,"11419","13 - 17 years",1149,2991.52,"2020 - 21","Q4","Flu",
"South Ozone Park",11420,32,"11420","13 - 17 years",1013,3192,"2020 - 21","Q4","Flu",
"Woodhaven",11421,34,"11421","13 - 17 years",933,2719.42,"2020 - 21","Q4","Flu",
"Rosedale",11422,19,"11422","13 - 17 years",370,1951.84,"2020 - 21","Q4","Flu",
"Hollis/Holliswood",11423,46,"11423","13 - 17 years",724,1577.25,"2020 - 21","Q4","Flu",
"Bellerose",11426,32,"11426","13 - 17 years",369,1147.12,"2020 - 21","Q4","Flu",
"Bellerose/Hollis Hills/Holliswood",11427,37,"11427","13 - 17 years",464,1251.73,"2020 - 21","Q4","Flu",
"Queens Village",11428,42,"11428","13 - 17 years",461,1095.25,"2020 - 21","Q4","Flu",
"Queens Village",11429,54,"11001, 11429","13 - 17 years",844,1564.2,"2020 - 21","Q4","Flu",
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,66,"11432","13 - 17 years",2037,3108.03,"2020 - 21","Q4","Flu",
"Jamaica",11433,33,"11433","13 - 17 years",819,2466.48,"2020 - 21","Q4","Flu",
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,23,"11434","13 - 17 years",909,3982.21,"2020 - 21","Q4","Flu",
"Briarwood/Jamaica",11435,43,"11435","13 - 17 years",1355,3179.97,"2020 - 21","Q4","Flu",
"South Jamaica/South Ozone Park",11436,26,"11436","13 - 17 years",345,1326.31,"2020 - 21","Q4","Flu",
"Edgemere/Far Rockaway",11691,31,"11691","13 - 17 years",1477,4735.01,"2020 - 21","Q4","Flu",
"Arverne/Edgemere",11692,21,"11692","13 - 17 years",344,1638.09,"2020 - 21","Q4","Flu",
"Arverne/Broad Channel",11693,18,"11693","13 - 17 years",164,898.73,"2020 - 21","Q4","Flu",
"Belle Harbor-Neponsit/Rockaway Park",11694,25,"11694","13 - 17 years",329,1309.91,"2020 - 21","Q4","Flu",
"Breezy Point",11697,30,"11697","13 - 17 years",76,252.16,"2020 - 21","Q4","Flu",
