"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",156,104.1,2024,"Q4","Hib",""
"Chinatown/Lower East Side",10002,69,"10002","24 - 35 months",329,479.54,2024,"Q4","Hib",""
"East Village/Gramercy/Greenwich Village",10003,83,"10003","24 - 35 months",179,214.48,2024,"Q4","Hib",""
"Financial District",10004,99,"10004","24 - 35 months",49,36.15,2024,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",73,47.51,2024,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",31,20.25,2024,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",110,103.37,2024,"Q4","Hib",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,84,"10009","24 - 35 months",257,306.78,2024,"Q4","Hib",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",191,171.38,2024,"Q4","Hib",""
"Chelsea",10011,74,"10011","24 - 35 months",209,284.31,2024,"Q4","Hib",""
"Greenwich Village/SoHo",10012,78,"10012","24 - 35 months",89,113.85,2024,"Q4","Hib",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,93,"10013","24 - 35 months",229,247.54,2024,"Q4","Hib",""
"Hudson Square/Meatpacking District/West Village",10014,87,"10014","24 - 35 months",128,147.55,2024,"Q4","Hib",""
"Kips Bay/Murray Hill/NoMad",10016,94,"10016","24 - 35 months",281,299.62,2024,"Q4","Hib",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",119,74.86,2024,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",45,39.98,2024,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",292,235.96,2024,"Q4","Hib",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",321,315.32,2024,"Q4","Hib",""
"East Midtown",10022,99,"10022","24 - 35 months",226,198.48,2024,"Q4","Hib",""
"Lincoln Square",10023,83,"10023","24 - 35 months",470,569.32,2024,"Q4","Hib",""
"Upper West Side",10024,83,"10024","24 - 35 months",451,545.26,2024,"Q4","Hib",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,86,"10025","24 - 35 months",582,672.95,2024,"Q4","Hib",""
"Central Harlem (South)",10026,62,"10026","24 - 35 months",236,382.16,2024,"Q4","Hib",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,67,"10027","24 - 35 months",372,558.21,2024,"Q4","Hib",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",317,318.16,2024,"Q4","Hib",""
"East Harlem",10029,85,"10029","24 - 35 months",592,700.4,2024,"Q4","Hib",""
"Central Harlem (North)",10030,54,"10030","24 - 35 months",184,341.63,2024,"Q4","Hib",""
"Hamilton Heights/West Harlem",10031,73,"10031","24 - 35 months",352,485.02,2024,"Q4","Hib",""
"Washington Heights (South)",10032,75,"10032","24 - 35 months",359,480.68,2024,"Q4","Hib",""
"Washington Heights (North)/Washington Heights (South)",10033,76,"10033","24 - 35 months",383,503.59,2024,"Q4","Hib",""
"Inwood/Washington Heights (North)",10034,87,"10034","24 - 35 months",307,351.86,2024,"Q4","Hib",""
"East Harlem",10035,62,"10035","24 - 35 months",223,357.51,2024,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",157,155.19,2024,"Q4","Hib",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",169,165.43,2024,"Q4","Hib",""
"Chinatown/Financial District",10038,90,"10038","24 - 35 months",120,133.15,2024,"Q4","Hib",""
"Central Harlem (North)/Washington Heights (South)",10039,47,"10039","24 - 35 months",153,323.53,2024,"Q4","Hib",""
"Washington Heights (North)",10040,81,"10040","24 - 35 months",299,367.63,2024,"Q4","Hib",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",113,97.1,2024,"Q4","Hib",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",272,241.51,2024,"Q4","Hib",""
"Lincoln Square",10069,99,"10069","24 - 35 months",82,53.05,2024,"Q4","Hib",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",224,182.84,2024,"Q4","Hib",""
