"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
2026,"Q2","13 - 17 years","HPV","2 or 3","Citywide",72
2026,"Q2","13 - 17 years","HPV","2 or 3","Bronx",87
2026,"Q2","13 - 17 years","HPV","2 or 3","Brooklyn",60
2026,"Q2","13 - 17 years","HPV","2 or 3","Manhattan",76
2026,"Q2","13 - 17 years","HPV","2 or 3","Queens",79
2026,"Q2","13 - 17 years","HPV","2 or 3","Staten Island",43
