"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,38,"10001, 10118","13 years",53,140.36,2020,"Q2","HPV",""
"Chinatown/Lower East Side",10002,95,"10002","13 years",582,611.42,2020,"Q2","HPV",""
"East Village/Gramercy/Greenwich Village",10003,27,"10003","13 years",48,179.38,2020,"Q2","HPV",""
"Financial District",10004,58,"10004","13 years",11,18.99,2020,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,88,"10005","13 years",12,13.67,2020,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,0,"10006","13 years",,11.72,2020,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"TriBeCa",10007,97,"10007","13 years",38,39.31,2020,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,42,"10009","13 years",170,407.28,2020,"Q2","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,37,"10010","13 years",42,114.82,2020,"Q2","HPV",""
"Chelsea",10011,32,"10011","13 years",71,224.93,2020,"Q2","HPV",""
"Greenwich Village/SoHo",10012,36,"10012","13 years",34,94.08,2020,"Q2","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,67,"10013","13 years",120,179.46,2020,"Q2","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,35,"10014","13 years",44,127.52,2020,"Q2","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,37,"10016","13 years",62,169.03,2020,"Q2","HPV",""
"East Midtown/Murray Hill",10017,52,"10017","13 years",23,43.86,2020,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10018,56,"10018","13 years",13,23.29,2020,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,35,"10019, 10020","13 years",51,144.17,2020,"Q2","HPV",""
"Lenox Hill/Upper East Side",10021,38,"10021","13 years",92,240.45,2020,"Q2","HPV",""
"East Midtown",10022,48,"10022","13 years",61,126.21,2020,"Q2","HPV",""
"Lincoln Square",10023,30,"10023","13 years",114,382.61,2020,"Q2","HPV",""
"Upper West Side",10024,25,"10024","13 years",135,546.34,2020,"Q2","HPV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,35,"10025","13 years",271,771.14,2020,"Q2","HPV",""
"Central Harlem (South)",10026,51,"10026","13 years",195,384.62,2020,"Q2","HPV",""
