"YEAR_COVERAGE","QUARTER","AGE_GROUP","VACCINE_GROUP","DOSES","BOROUGH","PERC_VAC"
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Citywide",58
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Bronx",53
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Brooklyn",55
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Manhattan",72
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Queens",61
"2025 - 26","Q2","6 months - 4 years","Flu",1,"Staten Island",46
