"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Bloomfield/Freshkills Park",10314,20,"10314","11 - 12 years",1,428,2177.52,2024,"Q4","HPV",""
"Concourse/Melrose",10451,93,"10451","11 - 12 years",1,1118,1203.36,2024,"Q4","HPV",""
"Concourse/Highbridge",10452,80,"10452","11 - 12 years",1,1811,2262.98,2024,"Q4","HPV",""
"Morris Heights/Mount Hope/University Heights",10453,84,"10453","11 - 12 years",1,1920,2278.58,2024,"Q4","HPV",""
"Mott Haven/Port Morris",10454,74,"10454","11 - 12 years",1,892,1208.61,2024,"Q4","HPV",""
"Mott Haven",10455,84,"10455","11 - 12 years",1,1049,1251,2024,"Q4","HPV",""
"Claremont/Morrisania",10456,80,"10456","11 - 12 years",1,2165,2702.72,2024,"Q4","HPV",""
"Belmont/Claremont/Mount Hope/Tremont",10457,78,"10457","11 - 12 years",1,1860,2396.84,2024,"Q4","HPV",""
"Belmont/Fordham University/Kingsbridge",10458,76,"10458","11 - 12 years",1,1777,2327.97,2024,"Q4","HPV",""
"Charlotte Gardens/Hunts Point",10459,73,"10459","11 - 12 years",1,1144,1570.16,2024,"Q4","HPV",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,68,"10460","11 - 12 years",1,1300,1911.04,2024,"Q4","HPV",""
"Morris Park/Pelham Bay/Westchester Square",10461,53,"10461","11 - 12 years",1,648,1213.19,2024,"Q4","HPV",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,83,"10462","11 - 12 years",1,1511,1824.8,2024,"Q4","HPV",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,56,"10463","11 - 12 years",1,797,1420.26,2024,"Q4","HPV",""
"City Island",10464,99,"10464","11 - 12 years",1,138,105.82,2024,"Q4","HPV",""
"Country Club/Throgs Neck",10465,36,"10465","11 - 12 years",1,435,1200.92,2024,"Q4","HPV",""
"Edenwald/Wakefield",10466,54,"10466","11 - 12 years",1,1051,1943.01,2024,"Q4","HPV",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,71,"10467","11 - 12 years",1,1842,2590.4,2024,"Q4","HPV",""
"Fordham/Kingsbridge/University Heights",10468,70,"10468","11 - 12 years",1,1541,2187.38,2024,"Q4","HPV",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,56,"10469","11 - 12 years",1,936,1669.5,2024,"Q4","HPV",""
"Wakefield/Woodlawn",10470,57,"10470","11 - 12 years",1,213,372.92,2024,"Q4","HPV",""
"Fieldston/North Riverdale/Riverdale",10471,41,"10471","11 - 12 years",1,170,409.94,2024,"Q4","HPV",""
"Soundview",10472,84,"10472","11 - 12 years",1,1523,1819.12,2024,"Q4","HPV",""
"Castle Hill/Clason Point/Soundview",10473,56,"10473","11 - 12 years",1,939,1664.68,2024,"Q4","HPV",""
"Hunts Point",10474,96,"10474","11 - 12 years",1,309,320.21,2024,"Q4","HPV",""
"Co-op City/Edenwald",10475,47,"10475","11 - 12 years",1,363,777.95,2024,"Q4","HPV",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","11 - 12 years",1,359,363.44,2024,"Q4","HPV",""
"Astoria (South)/Long Island City/Sunnyside",11101,97,"11101","11 - 12 years",1,573,591.02,2024,"Q4","HPV",""
"Astoria (North)",11102,46,"11102","11 - 12 years",1,224,490.05,2024,"Q4","HPV",""
"Astoria (North)/Astoria (South)",11103,37,"11103","11 - 12 years",1,213,569.53,2024,"Q4","HPV",""
"Sunnyside",11104,62,"11104","11 - 12 years",1,244,392.27,2024,"Q4","HPV",""
"Ditmars Steinway",11105,30,"11105","11 - 12 years",1,188,623.84,2024,"Q4","HPV",""
"Astoria (South)",11106,45,"11106","11 - 12 years",1,289,644.74,2024,"Q4","HPV",""
"Long Island City",11109,99,"11109","11 - 12 years",1,20,19.35,2024,"Q4","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,54,"11201","11 - 12 years",1,449,834.94,2024,"Q4","HPV",""
"East Flatbush (North)/East Flatbush (South)",11203,52,"11203","11 - 12 years",1,739,1423.67,2024,"Q4","HPV",""
