"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Mott Haven/Port Morris",10454,95,"10454","13 - 17 years",2935,3093.38,2020,"Q2","HPV",
"Mott Haven",10455,99,"10455","13 - 17 years",3216,3261.04,2020,"Q2","HPV",
"Claremont/Morrisania",10456,99,"10456","13 - 17 years",6830,6785.5,2020,"Q2","HPV",
"Belmont/Claremont/Mount Hope/Tremont",10457,96,"10457","13 - 17 years",5755,6002.91,2020,"Q2","HPV",
"Belmont/Fordham University/Kingsbridge",10458,98,"10458","13 - 17 years",5609,5746.69,2020,"Q2","HPV",
"Charlotte Gardens/Hunts Point",10459,90,"10459","13 - 17 years",3471,3839.77,2020,"Q2","HPV",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,86,"10460","13 - 17 years",3884,4496.97,2020,"Q2","HPV",
"Morris Park/Pelham Bay/Westchester Square",10461,72,"10461","13 - 17 years",2035,2839.13,2020,"Q2","HPV",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,90,"10462","13 - 17 years",3971,4395.68,2020,"Q2","HPV",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,75,"10463","13 - 17 years",2691,3600.27,2020,"Q2","HPV",
"City Island",10464,99,"10464","13 - 17 years",375,256.64,2020,"Q2","HPV",
"Country Club/Throgs Neck",10465,48,"10465","13 - 17 years",1410,2917.83,2020,"Q2","HPV",
"Edenwald/Wakefield",10466,70,"10466","13 - 17 years",3582,5106.21,2020,"Q2","HPV",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,95,"10467","13 - 17 years",5909,6189.17,2020,"Q2","HPV",
"Fordham/Kingsbridge/University Heights",10468,91,"10468","13 - 17 years",5000,5500.02,2020,"Q2","HPV",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,62,"10469","13 - 17 years",3014,4848.71,2020,"Q2","HPV",
"Wakefield/Woodlawn",10470,68,"10470","13 - 17 years",578,855.18,2020,"Q2","HPV",
"Fieldston/North Riverdale/Riverdale",10471,61,"10471","13 - 17 years",561,927.05,2020,"Q2","HPV",
"Soundview",10472,99,"10472","13 - 17 years",4378,4354.92,2020,"Q2","HPV",
"Castle Hill/Clason Point/Soundview",10473,70,"10473","13 - 17 years",3092,4414.22,2020,"Q2","HPV",
"Hunts Point",10474,99,"10474","13 - 17 years",945,842.32,2020,"Q2","HPV",
"Co-op City/Edenwald",10475,59,"10475","13 - 17 years",1288,2170.97,2020,"Q2","HPV",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","13 - 17 years",1289,1142.47,2020,"Q2","HPV",
"Astoria (South)/Long Island City/Sunnyside",11101,82,"11101","13 - 17 years",1102,1351.94,2020,"Q2","HPV",
"Astoria (North)",11102,93,"11102","13 - 17 years",1132,1217.27,2020,"Q2","HPV",
"Astoria (North)/Astoria (South)",11103,66,"11103","13 - 17 years",915,1377.47,2020,"Q2","HPV",
"Sunnyside",11104,91,"11104","13 - 17 years",874,959.94,2020,"Q2","HPV",
"Ditmars Steinway",11105,56,"11105","13 - 17 years",786,1396.82,2020,"Q2","HPV",
"Astoria (South)",11106,81,"11106","13 - 17 years",1227,1515.52,2020,"Q2","HPV",
"Long Island City",11109,89,"11109","13 - 17 years",49,55.35,2020,"Q2","HPV",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,80,"11201","13 - 17 years",1429,1778.35,2020,"Q2","HPV",
"East Flatbush (North)/East Flatbush (South)",11203,65,"11203","13 - 17 years",2521,3888.28,2020,"Q2","HPV",
"Bensonhurst/Mapleton",11204,42,"11204","13 - 17 years",2340,5533.92,2020,"Q2","HPV",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,49,"11205","13 - 17 years",1149,2353.54,2020,"Q2","HPV",
"Williamsburg (South)",11206,42,"11206","13 - 17 years",2617,6189.34,2020,"Q2","HPV",
"Cypress Hills/East New York",11207,72,"11207","13 - 17 years",4845,6740.63,2020,"Q2","HPV",
"Cypress Hills/East New York",11208,69,"11208","13 - 17 years",5470,7938.23,2020,"Q2","HPV",
"Bay Ridge/Fort Hamilton",11209,50,"11209","13 - 17 years",1699,3427.76,2020,"Q2","HPV",
"Flatlands/Midwood",11210,43,"11210","13 - 17 years",1860,4353.31,2020,"Q2","HPV",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,20,"11211, 11249","13 - 17 years",1359,6815.39,2020,"Q2","HPV",
"Ocean Hill-Brownsville",11212,79,"11212","13 - 17 years",4710,5999.76,2020,"Q2","HPV",
"Crown Heights (East)",11213,45,"11213","13 - 17 years",2048,4588.21,2020,"Q2","HPV",
"Bath Beach/Bensonhurst/Gravesend",11214,68,"11214","13 - 17 years",3229,4756.86,2020,"Q2","HPV",
"Gowanus/Park Slope/Windsor Terrace",11215,80,"11215","13 - 17 years",2001,2516.65,2020,"Q2","HPV",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,60,"11216","13 - 17 years",1456,2412.75,2020,"Q2","HPV",
"Boerum Hill/Park Slope",11217,77,"11217, 11243","13 - 17 years",995,1294.77,2020,"Q2","HPV",
"Kensington/Windsor Terrace",11218,59,"11218","13 - 17 years",2843,4789.71,2020,"Q2","HPV",
"Borough Park",11219,45,"11219","13 - 17 years",3178,7139.92,2020,"Q2","HPV",
"Sunset Park",11220,99,"11220","13 - 17 years",7584,5038.78,2020,"Q2","HPV",
"Bedford-Stuyvesant (East)/Bushwick",11221,62,"11221","13 - 17 years",3161,5105.68,2020,"Q2","HPV",
"Greenpoint",11222,34,"11222","13 - 17 years",436,1287.38,2020,"Q2","HPV",
"Gravesend/Homecrest",11223,52,"11223","13 - 17 years",2493,4777.94,2020,"Q2","HPV",
"Brighton Beach/Coney Island/Seagate",11224,52,"11224","13 - 17 years",1445,2773.94,2020,"Q2","HPV",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,56,"11225","13 - 17 years",1671,2991.22,2020,"Q2","HPV",
"Flatbush/Prospect Lefferts Gardens",11226,82,"11226","13 - 17 years",4280,5210.15,2020,"Q2","HPV",
"Bath Beach/Dyker Heights",11228,58,"11228","13 - 17 years",1463,2525.03,2020,"Q2","HPV",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,38,"11229","13 - 17 years",1822,4793.7,2020,"Q2","HPV",
"Midwood",11230,38,"11230","13 - 17 years",2391,6374.27,2020,"Q2","HPV",
"Carroll Gardens/Cobble Hill/Red Hook",11231,89,"11231","13 - 17 years",1260,1421.07,2020,"Q2","HPV",
"Sunset Park",11232,99,"11232","13 - 17 years",1606,1366.88,2020,"Q2","HPV",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,54,"11233","13 - 17 years",2759,5070.16,2020,"Q2","HPV",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,42,"11234","13 - 17 years",2267,5425.37,2020,"Q2","HPV",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,48,"11235","13 - 17 years",1757,3669.6,2020,"Q2","HPV",
"Canarsie",11236,56,"11236","13 - 17 years",3477,6182.89,2020,"Q2","HPV",
"Bushwick/East Williamsburg",11237,96,"11237","13 - 17 years",2357,2450.06,2020,"Q2","HPV",
"Clinton Hill/Prospect Heights",11238,88,"11238","13 - 17 years",1293,1465.21,2020,"Q2","HPV",
"East New York",11239,55,"11239","13 - 17 years",498,904.29,2020,"Q2","HPV",
"Flushing/Murray Hill",11354,99,"11354","13 - 17 years",2039,1987.46,2020,"Q2","HPV",
"Flushing/Murray Hill/Queensboro Hill",11355,99,"11355","13 - 17 years",4234,3101.56,2020,"Q2","HPV",
"College Point",11356,74,"11356","13 - 17 years",1148,1559.43,2020,"Q2","HPV",
"Whitestone",11357,51,"11357","13 - 17 years",1080,2116.68,2020,"Q2","HPV",
"Auburndale/Murray Hill",11358,68,"11358","13 - 17 years",1269,1873.55,2020,"Q2","HPV",
"Bayside (North)",11360,57,"11360","13 - 17 years",464,808.42,2020,"Q2","HPV",
"Bayside (North)/Bayside (South)",11361,56,"11361","13 - 17 years",896,1611.11,2020,"Q2","HPV",
"Douglaston-Little Neck",11362,52,"11362","13 - 17 years",484,935.51,2020,"Q2","HPV",
"Douglaston-Little Neck",11363,50,"11363","13 - 17 years",211,421.53,2020,"Q2","HPV",
"Bayside (South)/Oakland Gardens",11364,57,"11364","13 - 17 years",1212,2137.67,2020,"Q2","HPV",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,65,"11365","13 - 17 years",1655,2557.48,2020,"Q2","HPV",
"Fresh Meadows/Hillcrest",11366,59,"11366","13 - 17 years",438,743.32,2020,"Q2","HPV",
"Kew Gardens Hills/Pomonok",11367,58,"11367","13 - 17 years",1255,2176.97,2020,"Q2","HPV",
"Corona/North Corona",11368,99,"11368","13 - 17 years",7938,6362.02,2020,"Q2","HPV",
"Airport/East Elmhurst",11369,99,"11369","13 - 17 years",2094,1909.01,2020,"Q2","HPV",
"Jackson Heights/Rikers Island",11370,96,"11370","13 - 17 years",1297,1351.85,2020,"Q2","HPV",
"Jackson Heights",11372,99,"11372","13 - 17 years",3301,2788.74,2020,"Q2","HPV",
"Elmhurst",11373,99,"11373","13 - 17 years",5553,4662.53,2020,"Q2","HPV",
"Rego Park",11374,71,"11374","13 - 17 years",1247,1753.62,2020,"Q2","HPV",
"Forest Hills",11375,62,"11375","13 - 17 years",1584,2574.3,2020,"Q2","HPV",
"Woodside",11377,99,"11377","13 - 17 years",3995,3952.67,2020,"Q2","HPV",
"Maspeth",11378,51,"11378","13 - 17 years",1114,2202,2020,"Q2","HPV",
"Middle Village",11379,45,"11379","13 - 17 years",874,1926.31,2020,"Q2","HPV",
"Glendale/Ridgewood",11385,50,"11385","13 - 17 years",3337,6728.36,2020,"Q2","HPV",
"Cambria Heights",11411,48,"11411","13 - 17 years",525,1099.01,2020,"Q2","HPV",
"St. Albans",11412,54,"11412","13 - 17 years",1311,2434.87,2020,"Q2","HPV",
"Laurelton/Rosedale",11413,48,"11413","13 - 17 years",1310,2707.91,2020,"Q2","HPV",
"Hamilton Beach/Howard Beach/Lindenwood",11414,41,"11414","13 - 17 years",643,1586.3,2020,"Q2","HPV",
"Kew Gardens",11415,56,"11415","13 - 17 years",497,888.52,2020,"Q2","HPV",
"Ozone Park",11416,73,"11416","13 - 17 years",1459,1987.92,2020,"Q2","HPV",
"Ozone Park",11417,64,"11417","13 - 17 years",1368,2138.12,2020,"Q2","HPV",
"Richmond Hill",11418,82,"11418","13 - 17 years",1844,2260.38,2020,"Q2","HPV",
"Richmond Hill/South Ozone Park",11419,71,"11419","13 - 17 years",2157,3055.25,2020,"Q2","HPV",
"South Ozone Park",11420,62,"11420","13 - 17 years",2033,3264.83,2020,"Q2","HPV",
"Woodhaven",11421,66,"11421","13 - 17 years",1817,2764.34,2020,"Q2","HPV",
"Rosedale",11422,47,"11422","13 - 17 years",947,2023.37,2020,"Q2","HPV",
"Hollis/Holliswood",11423,82,"11423","13 - 17 years",1329,1618.21,2020,"Q2","HPV",
"Bellerose",11426,46,"11426","13 - 17 years",540,1168.3,2020,"Q2","HPV",
"Bellerose/Hollis Hills/Holliswood",11427,58,"11427","13 - 17 years",736,1277.28,2020,"Q2","HPV",
"Queens Village",11428,61,"11428","13 - 17 years",684,1119.71,2020,"Q2","HPV",
"Queens Village",11429,89,"11001, 11429","13 - 17 years",1442,1614.16,2020,"Q2","HPV",
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,99,"11432","13 - 17 years",3233,3174.12,2020,"Q2","HPV",
"Jamaica",11433,72,"11433","13 - 17 years",1838,2544.72,2020,"Q2","HPV",
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,60,"11434","13 - 17 years",2483,4120.26,2020,"Q2","HPV",
"Briarwood/Jamaica",11435,80,"11435","13 - 17 years",2607,3253.2,2020,"Q2","HPV",
"South Jamaica/South Ozone Park",11436,64,"11436","13 - 17 years",880,1366.85,2020,"Q2","HPV",
"Edgemere/Far Rockaway",11691,57,"11691","13 - 17 years",2745,4853.41,2020,"Q2","HPV",
"Arverne/Edgemere",11692,57,"11692","13 - 17 years",955,1685.1,2020,"Q2","HPV",
"Arverne/Broad Channel",11693,43,"11693","13 - 17 years",395,916.93,2020,"Q2","HPV",
"Belle Harbor-Neponsit/Rockaway Park",11694,44,"11694","13 - 17 years",584,1329.83,2020,"Q2","HPV",
"Breezy Point",11697,38,"11697","13 - 17 years",97,255.63,2020,"Q2","HPV",
